player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Saved penalties,All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots on target,Shooting - Headed shots,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Defending - Penalties conceded,Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Defending - Penalties conceded (per90),market_value_usd_raw
113620,Lucas Hoyos,Atlanta United,773958,https://www.fotmob.com/players/113620/lucas-hoyos,Keeper,GK,keepers,183 cm,1,37,Argentina,Right,$226.4k,197391,€197.4k,,MLS,Eastern,Major League Soccer,2026,1.0,23.0,6.5,14,1260,2,0,34,59.6,23,0.11,1,0,0,0.0,1,6,10,407,76.5,91,43.1,0.01,2,0,23,1,6.50,14,14,0/1,2.43,59.65,1.64,0.01,0.07,0.0,0.0,0.0,0.07,0.43,0.71,29.07,76.5,6.5,43.13,0.0,0.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226407.48
1649302,Jayden Hibbert,Atlanta United 2,773958,https://www.fotmob.com/players/1649302/jayden-hibbert,Keeper,GK,keepers,188 cm,42,21,Canada,Right,$521.1k,454292,€454.3k,,MLS,Eastern,MLS Next Pro,2026,,3.0,7.02,2,180,1,0,6,66.7,3,,0,0,1,0.0,0,,2,94,82.5,21,53.8,,1,0,3,0,7.02,2,2,0/1,3.0,66.67,1.5,,0.0,0.0,0.5,0.0,0.0,,1.0,47.0,82.46,10.5,53.85,,0.5,0.0,0/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521072.92
830156,Ronald Hernández,Atlanta United,773958,https://www.fotmob.com/players/830156/ronald-hern-ndez,Right Back,RB,defenders,171 cm,2,28,Venezuela,Right,$68.2k,59457,€59.5k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.19,2,150,1,0,,,,,,,,,,,,,,,,,1,0,,,6.19,2,2,,,,,,,,,,,,,,,,,,0.6,0.0,,0.0,0.0,2.0,0,0,0,0.02,45,77.6,1,12.5,2,6,30.0,1,25.0,101,1,0,2,10,3,2,1,9,2,1,3,4,0,3,3.93,0,0,150,0.0,0.0,0.0,0.01,27.0,77.59,0.6,12.5,1.2,3.6,30.0,0.6,25.0,60.6,0.6,0.0,1.2,6.0,1.8,1.2,0.6,5.4,1.2,0.6,1.8,2.4,0.0,1.8,2.36,,,,,,,,,,,,,,,,,,,,,,,68197.18
1513339,Elías Báez,Atlanta United,773958,https://www.fotmob.com/players/1513339/el-as-b-ez,Left Back,LB,defenders,175 cm,3,21,Argentina,Left,$5.0m,4393666,€4.4m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,6.83,12,1044,3,0,,,,,,,,,,,,,,,,,3,0,,,6.83,12,12,,,,,,,,,,,,,,,,,,0.26,0.0,,0.0,2.0,12.0,0,13,2,0.61,445,80.5,14,34.1,10,56,53.3,20,62.5,843,22,8,8,71,24,16,2,8,49,3,16,29,0,19,19.53,0,2,1044,0.0,1.12,0.17,0.05,38.36,80.47,1.21,34.15,0.86,4.83,53.33,1.72,62.5,72.67,1.9,0.69,0.69,6.12,2.07,1.38,0.17,0.69,4.22,0.26,1.38,2.5,0.0,1.64,1.68,0.64,0.16,0.64,3,2,1,2,8.7,5,45.5,1,0.06,0.01,0.06,0.26,0.17,0.09,0.17,8.7,0.43,45.45,0.09,5039534.9
784876,Enea Mihaj,Atlanta United,773958,https://www.fotmob.com/players/784876/enea-mihaj,Center Back,CB,defenders,186 cm,4,27,Albania,Right,$4.9m,4300000,€4.3m,,MLS,Eastern,Major League Soccer,2026,,,6.58,13,1061,3,0,,,,,,,,,,,,,,,,,3,0,,,6.58,13,12,,,,,,,,,,,,,,,,,,0.25,0.0,,0.0,0.0,12.0,0,3,0,0.12,708,88.3,37,44.0,1,47,56.6,19,57.6,955,11,3,4,101,21,20,5,12,43,,6,55,1,20,20.87,0,0,1061,0.0,0.25,0.0,0.01,60.06,88.28,3.14,44.05,0.08,3.99,56.63,1.61,57.58,81.01,0.93,0.25,0.34,8.57,1.78,1.7,0.42,1.02,3.65,,0.51,4.67,0.08,1.7,1.77,0.13,0.39,0.13,2,2,,,,3,60.0,,0.01,0.03,0.01,0.17,0.17,,,,0.25,60.0,,4932100.0
462527,Stian Gregersen,Atlanta United,773958,https://www.fotmob.com/players/462527/stian-gregersen,Center Back,CB,defenders,191 cm,5,31,Norway,Right,$1.2m,1006594,€1m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,6.89,9,724,3,0,,,,,,,,,,,,,,,,,3,0,,,6.89,9,8,,,,,,,,,,,,,,,,,,0.37,0.0,,0.0,0.0,8.0,0,2,0,0.42,500,91.9,14,41.2,2,30,63.8,14,66.7,650,7,1,6,75,11,9,5,9,29,,1,50,1,11,11.97,0,0,724,0.0,0.25,0.0,0.05,62.15,91.91,1.74,41.18,0.25,3.73,63.83,1.74,66.67,80.8,0.87,0.12,0.75,9.32,1.37,1.12,0.62,1.12,3.6,,0.12,6.22,0.12,1.37,1.49,0.13,,0.13,1,2,,,,,,,0.02,,0.02,0.12,0.25,,,,,,,1154563.32
873838,Juan Berrocal,Atlanta United,773958,https://www.fotmob.com/players/873838/juan-berrocal,Center Back,CB,defenders,187 cm,6,27,Spain,Right,$1.1m,955917,€955.9k,2027-06-30,MLS,Eastern,Major League Soccer,2026,,,6.66,9,731,2,0,,,,,,,,,,,,,,,,,2,0,,,6.66,9,8,,,,,,,,,,,,,,,,,,0.25,0.0,,0.0,0.0,8.0,0,6,0,0.08,469,91.8,22,52.4,2,30,60.0,14,63.6,609,6,0,1,63,15,13,3,9,39,1,3,32,0,15,12.79,0,0,731,0.0,0.74,0.0,0.01,57.74,91.78,2.71,52.38,0.25,3.69,60.0,1.72,63.64,74.98,0.74,0.0,0.12,7.76,1.85,1.6,0.37,1.11,4.8,0.12,0.37,3.94,0.0,1.85,1.58,0.41,,0.41,,3,,,,,,,0.05,,0.05,,0.37,,,,,,,1096436.8
923481,Pedro Amador,Atlanta United,773958,https://www.fotmob.com/players/923481/pedro-amador,Left Back,LB,defenders,181 cm,18,27,Portugal,Left,$393.0k,342592,€342.6k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.75,7,238,0,0,,,,,,,,,,,,,,,,,0,0,,,6.75,7,2,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,2.0,0,3,0,0.80,112,87.5,6,75.0,5,15,60.0,3,50.0,205,5,0,4,20,7,6,,4,8,,2,7,0,5,4.37,0,0,238,0.0,1.13,0.0,0.3,42.35,87.5,2.27,75.0,1.89,5.67,60.0,1.13,50.0,77.52,1.89,0.0,1.51,7.56,2.65,2.27,,1.51,3.03,,0.76,2.65,0.0,1.89,1.65,0.11,,0.11,,,3,5,38.5,1,50.0,,0.04,,0.04,,,1.13,1.89,38.46,0.38,50.0,,392953.02
1170745,Matthew Edwards,Atlanta United,773958,https://www.fotmob.com/players/1170745/matthew-edwards,Right Back,RB,defenders,178 cm,47,23,USA,Right,$196.9k,171688,€171.7k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.42,7,250,1,0,,,,,,,,,,,,,,,,,1,0,,,6.42,7,2,,,,,,,,,,,,,,,,,,0.36,0.0,,0.0,1.0,2.0,0,1,1,0.28,111,86.0,6,66.7,4,11,50.0,5,71.4,190,6,1,2,12,3,1,,5,8,,2,8,0,3,2.42,0,1,250,0.0,0.36,0.36,0.1,39.96,86.05,2.16,66.67,1.44,3.96,50.0,1.8,71.43,68.4,2.16,0.36,0.72,4.32,1.08,0.36,,1.8,2.88,,0.72,2.88,0.0,1.08,0.87,0.03,,0.03,,,1,2,25.0,1,50.0,,0.01,,0.01,,,0.36,0.72,25.0,0.36,50.0,,196926.14
1308412,Tomás Jacob,Atlanta United,773958,https://www.fotmob.com/players/1308412/tom-s-jacob,Right Back,RB,defenders,,55,22,Argentina,Right,$3.3m,2874018,€2.9m,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,6.98,12,1031,4,0,,,,,,,,,,,,,,,,,4,0,,,6.98,12,12,,,,,,,,,,,,,,,,,,0.35,0.0,,1.0,0.0,12.0,1,5,0,0.78,339,81.1,16,47.1,10,66,62.3,14,60.9,711,20,5,14,84,32,13,4,18,46,2,5,35,1,20,20.64,1,0,1031,0.09,0.44,0.0,0.07,29.59,81.1,1.4,47.06,0.87,5.76,62.26,1.22,60.87,62.07,1.75,0.44,1.22,7.33,2.79,1.13,0.35,1.57,4.02,0.17,0.44,3.06,0.09,1.75,1.8,0.28,0.13,0.28,1,2,2,8,28.6,6,54.5,,0.02,0.01,0.02,0.09,0.17,0.17,0.7,28.57,0.52,54.55,,3296498.65
