player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Goals conceded,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Clean sheets,All Competitions - Saved penalties,Goalkeeping - Save percentage,Goalkeeping - Goals prevented,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Acted as sweeper,Distribution - xA,Goalkeeping - Save percentage (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Acted as sweeper (per90),Distribution - xA (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Possession - Dribbles,Possession - Dribbles success rate,Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Shooting - xGOT,Shooting - Shots on target,Passing - Chances created,Shooting - xGOT (per90),Shooting - Shots on target (per90),Passing - Chances created (per90),Passing - Successful crosses,Passing - Cross accuracy,Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Passing - Big chances created,Possession - Penalties awarded,Passing - Big chances created (per90),Possession - Penalties awarded (per90),Shooting - Penalty goals,Defending - Penalties conceded,Shooting - Penalty goals (per90),Defending - Penalties conceded (per90),market_value_usd_raw
823030,Sébastian Breza,CF Montreal,161195,https://www.fotmob.com/players/823030/s-bastian-breza,Keeper,GK,keepers,195 cm,1,28,Canada,Right,$155.2k,135324,€135.3k,2027-12-31,MLS,Eastern,Major League Soccer,2025,9.0,6.35,3,270,1,0,0,0,1,0,2,12,100.0,2,100.0,0,0,0,1,7.20,1,1,0/0,0.0,0.0,1.0,0.0,2.0,12.0,100.0,2.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155216.63
1432807,Thomas Gillier,CF Montreal,161195,https://www.fotmob.com/players/1432807/thomas-gillier,Keeper,GK,keepers,186 cm,31,22,Chile,Right,$1.9m,1618025,€1.6m,2030-06-30,MLS,Eastern,Major League Soccer,2026,31.0,6.52,14,1260,3,0,45,31,3,2,11,284,73.6,51,33.6,3,0,31,3,6.52,14,14,0/2,3.21,2.21,0.21,0.14,0.79,20.29,73.58,3.64,33.55,0.21,0.0,3.0,0/2,59.2,-2.23,0,2,0.0,12,0.01,59.21,-0.16,0.0,0.14,0.0,0.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855874.68
1171825,Jalen Neal,CF Montreal,161195,https://www.fotmob.com/players/1171825/jalen-neal,Center Back,CB,defenders,191 cm,2,22,USA,Right,$1.0m,901448,€901.4k,2027-12-31,MLS,Eastern,Major League Soccer,2026,,6.69,6,407,1,0,,,,,,,,,,1,0,,,6.69,6,5,,,,,,,,,,,0.22,0.0,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0,0.01,0.01,1,1,0,0.05,195,85.5,16,50.0,16,50.0,5,55.6,282,2,0,1,38,10,5,3,8,8,1,4,20,0,7,5.69,0,0,407,0.0,0.0,0.0,0.22,0.22,0.0,0.01,43.12,85.53,3.54,50.0,3.54,50.0,1.11,55.56,62.36,0.44,0.0,0.22,8.4,2.21,1.11,0.66,1.77,1.77,0.22,0.88,4.42,0.0,1.55,1.26,,,,,,,,,,,,,,,,,,,,,,,1033960.86
1437200,Tomás Avilés,CF Montreal,161195,https://www.fotmob.com/players/1437200/tom-s-avil-s,Center Back,CB,defenders,186 cm,3,22,Argentina,Right,$2.8m,2412011,€2.4m,,MLS,Eastern,Major League Soccer,2026,,6.42,4,221,0,1,,,,,,,,,,0,1,,,6.42,4,3,,,,,,,,,,,0.0,0.41,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0,0.05,0.05,1,,0,0.05,136,81.4,9,36.0,13,65.0,4,80.0,213,1,0,1,20,7,8,,5,10,,1,5,0,5,4.54,0,0,221,0.0,0.02,0.02,0.41,,0.0,0.02,55.38,81.44,3.67,36.0,5.29,65.0,1.63,80.0,86.74,0.41,0.0,0.41,8.14,2.85,3.26,,2.04,4.07,,0.41,2.04,0.0,2.04,1.85,1,100.0,0.41,100.0,,,,,,,,,,,,,,,,,,,2766576.62
1053724,Brayan Vera,CF Montreal,161195,https://www.fotmob.com/players/1053724/brayan-vera,Center Back,CB,defenders,180 cm,4,27,Colombia,Left,$1.2m,1029808,€1m,2028-06-30,MLS,Eastern,Major League Soccer,2026,,6.31,12,1008,4,1,,,,,,,,,,4,1,,,6.31,12,12,,,,,,,,,,,0.36,0.09,,,,,,,,,,,,,,,,,0.0,0.0,12.0,0,0.48,0.48,11,1,0,0.14,386,77.2,46,35.1,42,53.8,9,36.0,681,4,1,7,101,23,15,5,15,29,2,5,58,2,26,16.11,0,0,1008,0.0,0.04,0.04,0.98,0.09,0.0,0.01,34.46,77.2,4.11,35.11,3.75,53.85,0.8,36.0,60.8,0.36,0.09,0.62,9.02,2.05,1.34,0.45,1.34,2.59,0.18,0.45,5.18,0.18,2.32,1.44,3,100.0,0.27,100.0,0.23,5,2,0.02,0.45,0.18,,,,,,,,,,,,,1181189.78
1188642,Brandan Craig,CF Montreal,161195,https://www.fotmob.com/players/1188642/brandan-craig,Center Back,CB,defenders,185 cm,5,22,USA,Right,$290.0k,252871,€252.9k,,MLS,Eastern,Major League Soccer,2026,,6.57,5,298,2,0,,,,,,,,,,2,0,,,6.57,5,2,,,,,,,,,,,0.6,0.0,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0,0.21,0.21,4,1,0,0.08,152,82.6,12,40.0,10,66.7,4,66.7,224,4,0,2,22,4,2,1,2,9,,1,15,1,8,4.88,0,0,298,0.0,0.06,0.06,1.21,0.3,0.0,0.02,45.91,82.61,3.62,40.0,3.02,66.67,1.21,66.67,67.65,1.21,0.0,0.6,6.64,1.21,0.6,0.3,0.6,2.72,,0.3,4.53,0.3,2.42,1.47,,,,,0.06,1,,0.02,0.3,,1,100.0,0.3,100.0,,,,,,,,,290043.04
1037553,Luca Petrasso,CF Montreal,161195,https://www.fotmob.com/players/1037553/luca-petrasso,Left Back,LB,defenders,180 cm,13,26,Canada,Left,$321.9k,280654,€280.7k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,6.6,12,1075,0,0,,,,,,,,,,0,0,,,6.60,12,12,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,12.0,0,0.20,0.20,5,,0,1.88,392,83.2,22,47.8,33,50.8,8,36.4,718,27,2,5,43,13,6,2,3,49,4,4,22,3,23,16.35,0,0,1075,0.0,0.02,0.02,0.42,,0.0,0.16,32.82,83.23,1.84,47.83,2.76,50.77,0.67,36.36,60.11,2.26,0.17,0.42,3.6,1.09,0.5,0.17,0.25,4.1,0.33,0.33,1.84,0.25,1.93,1.37,7,41.2,0.59,41.18,0.27,2,15,0.02,0.17,1.26,14,32.6,1.17,32.56,1,1,0.08,0.08,,,,,321910.14
937015,Dagur Thórhallsson,CF Montreal,161195,https://www.fotmob.com/players/937015/dagur-th-rhallsson,Right Back,RB,defenders,178 cm,17,26,Iceland,Right,$1.2m,1045726,€1m,2028-06-30,MLS,Eastern,Major League Soccer,2026,,6.63,10,608,0,0,,,,,,,,,,0,0,,,6.63,10,7,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,7.0,1,0.34,0.34,7,1,0,0.71,167,85.2,9,64.3,29,58.0,7,53.8,301,12,3,9,28,7,3,3,8,25,3,1,15,1,18,12.46,1,0,608,0.15,0.05,0.05,1.04,0.15,0.0,0.1,24.72,85.2,1.33,64.29,4.29,58.0,1.04,53.85,44.56,1.78,0.44,1.33,4.14,1.04,0.44,0.44,1.18,3.7,0.44,0.15,2.22,0.15,2.66,1.84,6,60.0,0.89,60.0,1.35,3,7,0.2,0.44,1.04,3,30.0,0.44,30.0,1,,0.15,,,,,,1199447.72
1172426,Bode Hidalgo,CF Montreal,161195,https://www.fotmob.com/players/1172426/bode-hidalgo,Right Back,RB,defenders,183 cm,19,24,USA,Right,$1.3m,1165941,€1.2m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,5.65,4,254,0,0,,,,,,,,,,0,0,,,5.65,4,2,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0,0.01,0.01,1,,0,0.10,113,80.7,6,28.6,7,43.8,1,33.3,199,1,1,4,11,,4,,1,12,,1,7,0,9,4.44,0,0,254,0.0,0.0,0.0,0.35,,0.0,0.04,40.04,80.71,2.13,28.57,2.48,43.75,0.35,33.33,70.51,0.35,0.35,1.42,3.9,,1.42,,0.35,4.25,,0.35,2.48,0.0,3.19,1.57,2,33.3,0.71,33.33,,,,,,,1,14.3,0.35,14.29,,,,,,,,,1337334.33
1179047,Efraín Morales,CF Montreal,161195,https://www.fotmob.com/players/1179047/efra-n-morales,Center Back,CB,defenders,191 cm,24,22,Bolivia,Right,$678.1k,591212,€591.2k,2028-12-31,MLS,Eastern,Major League Soccer,2026,,6.51,11,876,0,0,,,,,,,,,,0,0,,,6.51,11,10,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,10.0,0,0.62,0.62,7,6,1,0.23,454,89.4,21,43.8,51,66.2,25,65.8,649,17,0,8,94,18,18,13,13,36,,1,45,2,25,16.24,0,1,876,0.0,0.06,0.06,0.72,0.62,0.1,0.02,46.64,89.37,2.16,43.75,5.24,66.23,2.57,65.79,66.68,1.75,0.0,0.82,9.66,1.85,1.85,1.34,1.34,3.7,,0.1,4.62,0.21,2.57,1.67,1,50.0,0.1,50.0,0.11,2,5,0.01,0.21,0.51,,,,,1,,0.1,,,,,,678120.16
