player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Distribution - Chances created,Distribution - Chances created (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - Headed shots,Defending - Blocked scoring attempt,Defending - Possession won final 3rd,Shooting - Headed shots (per90),Defending - Blocked scoring attempt (per90),Defending - Possession won final 3rd (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),Shooting - Penalty goals,Possession - Penalties awarded,Shooting - Penalty goals (per90),Possession - Penalties awarded (per90),market_value_usd_raw
1245998,Chris Brady,Chicago Fire FC,6397,https://www.fotmob.com/players/1245998/chris-brady,Keeper,GK,keepers,190 cm,1.0,22,USA,Right,$2.5m,2222301.0,€2.2m,2026-12-31,MLS,Eastern,Major League Soccer,2026,6.0,16.0,0/4,7.24,14,1260,1,0,42,72.4,16,2.91,6,0,4,0.0,0,6,21,336,74.3,60,34.9,0.01,1,0,16,6,7.24,14,14,0/4,3.0,72.41,1.14,0.21,0.43,0.0,0.29,0.0,0.0,0.43,1.5,24.0,74.34,4.29,34.88,0.0,0.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548979.25
1072167,Jeffrey Gal,Chicago Fire FC,6397,https://www.fotmob.com/players/1072167/jeffrey-gal,Keeper,GK,keepers,187 cm,25.0,33,USA,Right,$69.4k,60536.0,€60.5k,2026-12-31,MLS,Eastern,Major League Soccer,2025,,12.0,0/1,5.87,8,680,0,0,11,47.8,12,-3.23,0,0,1,0.0,3,2,8,146,79.8,26,41.3,0.00,0,0,12,0,5.87,8,7,0/1,1.46,47.83,1.59,-0.43,0.0,0.0,0.13,0.0,0.4,0.26,1.06,19.32,79.78,3.44,41.27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69434.79
1073995,Josh Cohen,Chicago Fire FC,6397,https://www.fotmob.com/players/1073995/josh-cohen,Keeper,GK,keepers,186 cm,44.0,33,USA,Left,$58.3k,50804.0,€50.8k,,MLS,Eastern,MLS Next Pro,2025,2.0,3.0,,7.59,4,360,0,0,18,85.7,3,,2,,,,0,3,1,110,73.3,19,32.2,,0,0,3,2,7.59,4,4,0/0,4.5,85.71,0.75,,0.5,,,,0.0,0.75,0.25,27.5,73.33,4.75,32.2,,0.0,0.0,1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58272.19
168190,Omar González,Chicago Fire FC II,6397,https://www.fotmob.com/players/168190/omar-gonz-lez,Center Back,CB,defenders,196 cm,34.0,37,USA,Right,$82.6k,72000.0,€72k,,MLS,Eastern,MLS Next Pro,2026,,,,6.53,1,32,0,0,,,,,,,,,,,,,,,,,0,0,,,6.53,1,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,32,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82584.0
1525424,Leonardo Barroso,Chicago Fire FC,6397,https://www.fotmob.com/players/1525424/leonardo-barroso,Right Back,RB,defenders,168 cm,2.0,21,Portugal,Left,$1.7m,1466091.0,€1.5m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.83,7,545,1,0,,,,,,,,,,,,,,,,,1,0,,,6.83,7,7,,,,,,,,,,,,,,,,,,0.17,0.0,,,0.0,0.0,7.0,0,0,545,0,0.23,0.79,0.23,5,2,0,0.44,144,72.7,4,23.5,4,2,4,36.4,8,88.9,19,46.3,3,30.0,344,9,4,1,19,7,3,6,23,5,9,2,5,5.51,0.0,0.04,0.13,0.04,0.83,0.33,0.0,0.07,23.78,72.73,0.66,23.53,0.66,0.33,0.66,36.36,1.32,88.89,3.14,46.34,0.5,30.0,56.81,1.49,0.66,0.17,3.14,1.16,0.5,0.99,3.8,0.83,1.49,0.33,0.83,0.91,,,,,,,,,,,,,1681606.38
830664,Jack Elliott,Philadelphia Union II,6397,https://www.fotmob.com/players/830664/jack-elliott,Center Back,CB,defenders,198 cm,,30,England,,$1.4m,1240051.0,€1.2m,,MLS,Eastern,Major League Soccer,2026,,,,7.12,12,1027,3,0,,,,,,,,,,,,,,,,,3,0,,,7.12,12,12,,,,,,,,,,,,,,,,,,0.26,0.0,,,0.0,1.0,12.0,0,1,1027,0,0.52,,0.52,9,,1,0.85,658,85.6,31,34.4,3,1,,,2,66.7,43,55.8,28,56.0,919,19,0,3,110,10,10,10,33,3,81,5,11,14.82,0.0,0.05,,0.05,0.79,,0.09,0.07,57.66,85.57,2.72,34.44,0.26,0.09,,,0.18,66.67,3.77,55.84,2.45,56.0,80.54,1.67,0.0,0.26,9.64,0.88,0.88,0.88,2.89,0.26,7.1,0.44,0.96,1.3,6,9,1,0.53,0.79,0.09,,,,,,,1422338.5
1719066,Mbekezeli Mbokazi,Chicago Fire FC,6397,https://www.fotmob.com/players/1719066/mbekezeli-mbokazi,Center Back,CB,defenders,177 cm,4.0,20,South Africa,Left,$808.6k,704961.0,€705k,2029-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.3,12,1050,2,0,,,,,,,,,,,,,,,,,2,0,,,7.30,12,12,,,,,,,,,,,,,,,,,,0.17,0.0,,,0.0,0.0,12.0,0,0,1050,0,0.86,0.58,0.86,7,3,0,0.10,541,85.1,32,38.1,1,,,,3,75.0,48,72.7,13,59.1,835,8,2,11,126,21,12,4,48,2,80,5,13,16.24,0.0,0.07,0.05,0.07,0.6,0.26,0.0,0.01,46.37,85.06,2.74,38.1,0.09,,,,0.26,75.0,4.11,72.73,1.11,59.09,71.57,0.69,0.17,0.94,10.8,1.8,1.03,0.34,4.11,0.17,6.86,0.43,1.11,1.39,3,13,,0.26,1.11,,1,0.09,,,,,808590.27
841928,Sam Rogers,Chicago Fire FC,6397,https://www.fotmob.com/players/841928/sam-rogers,Center Back,CB,defenders,193 cm,5.0,27,USA,Right,$234.2k,204167.0,€204.2k,,MLS,Eastern,Major League Soccer,2026,,,,6.53,1,76,0,0,,,,,,,,,,,,,,,,,0,0,,,6.53,1,1,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,1.0,0,0,76,0,,,,0,,0,0.01,53,96.4,1,50.0,,,,,,,1,33.3,,,65,,0,1,6,,1,,2,,5,0,1,0.82,0.0,,,,0.0,,0.0,0.01,62.76,96.36,1.18,50.0,,,,,,,1.18,33.33,,,76.97,,0.0,1.18,7.11,,1.18,,2.37,,5.92,0.0,1.18,0.97,,,,,,,,,,,,,234179.55
1666976,Viktor Radojevic,Chicago Fire FC,6397,https://www.fotmob.com/players/1666976/viktor-radojevic,Left Back,LB,defenders,175 cm,14.0,21,Serbia,Left,$1.7m,1476100.0,€1.5m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.66,6,115,2,0,,,,,,,,,,,,,,,,,2,0,,,6.66,6,1,,,,,,,,,,,,,,,,,,1.57,0.0,,,0.0,0.0,1.0,0,0,115,0,0.04,,0.04,1,,0,0.10,32,76.2,2,25.0,2,1,1,100.0,1,33.3,8,28.6,2,22.2,86,1,1,6,9,,3,8,4,2,6,0,0,1.43,0.0,0.03,,0.03,0.78,,0.0,0.08,25.04,76.19,1.57,25.0,1.57,0.78,0.78,100.0,0.78,33.33,6.26,28.57,1.57,22.22,67.3,0.78,0.78,4.7,7.04,,2.35,6.26,3.13,1.57,4.7,0.0,0.0,1.12,,,,,,,,,,,,,1693086.7
1018587,Andrew Gutman,Chicago Fire FC,6397,https://www.fotmob.com/players/1018587/andrew-gutman,Left Back,LB,defenders,180 cm,15.0,29,USA,Left,$816.5k,711858.0,€711.9k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.21,10,788,3,0,,,,,,,,,,,,,,,,,3,0,,,7.21,10,9,,,,,,,,,,,,,,,,,,0.34,0.0,,,1.0,2.0,9.0,1,2,788,1,0.85,0.72,0.85,10,2,2,0.97,265,75.9,7,23.3,10,2,4,26.7,2,50.0,39,59.1,14,53.8,543,17,0,5,64,18,8,11,24,3,35,2,12,13.01,0.11,0.1,0.08,0.1,1.14,0.23,0.23,0.11,30.27,75.93,0.8,23.33,1.14,0.23,0.46,26.67,0.23,50.0,4.45,59.09,1.6,53.85,62.02,1.94,0.0,0.57,7.31,2.06,0.91,1.26,2.74,0.34,4.0,0.23,1.37,1.49,2,3,,0.23,0.34,,,,,,,,816501.13
