player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Possession - Penalties awarded,Defending - Penalties conceded,Possession - Penalties awarded (per90),Defending - Penalties conceded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),market_value_usd_raw
533127,Zack Steffen,Colorado Rapids,8314,https://www.fotmob.com/players/533127/zack-steffen,Keeper,GK,keepers,190 cm,1.0,31,USA,Right,$849.9k,740937,€740.9k,2026-12-31,MLS,Western,Major League Soccer,2026,2.0,15.0,0/1,6.37,9,810,0,0,28,65.1,15,-3.20,2,0,1,0.0,0,2,8,276,89.3,23,47.9,0.00,0,0,15,2,6.37,9,9,0/1,3.11,65.12,1.67,-0.36,0.22,0.0,0.11,0.0,0.0,0.22,0.89,30.67,89.32,2.56,47.92,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849854.74
1098753,Nicholas Hansen,Colorado Rapids,8314,https://www.fotmob.com/players/1098753/nicholas-hansen,Keeper,GK,keepers,,41.0,24,USA,,$283.1k,246782,€246.8k,2028-12-31,MLS,Western,Major League Soccer,2026,1.0,9.0,0/2,6.94,6,540,0,0,18,66.7,9,-0.49,1,0,2,0.0,0,10,3,183,86.3,22,44.9,0.00,0,0,9,1,6.94,6,6,0/2,3.0,66.67,1.5,-0.08,0.17,0.0,0.33,0.0,0.0,1.67,0.5,30.5,86.32,3.67,44.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283058.95
1748341,Zack Campagnolo,Colorado Rapids 2,8314,https://www.fotmob.com/players/1748341/zack-campagnolo,Keeper,GK,keepers,190 cm,51.0,19,USA,Right,$51.6k,45000,€45k,,MLS,Western,MLS Next Pro,2026,,19.0,0/2,6.35,8,720,0,0,27,58.7,19,,0,0,2,0.0,1,7,6,313,87.7,21,36.2,,0,0,19,0,6.35,8,8,0/2,3.38,58.7,2.38,,0.0,0.0,0.25,0.0,0.12,0.88,0.75,39.12,87.68,2.62,36.21,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51615.0
1280203,Loïc Williams,Colorado Rapids,8314,https://www.fotmob.com/players/1280203/lo-c-williams,Center Back,CB,defenders,188 cm,,24,Spain,Left,$1.4m,1240162,€1.2m,,MLS,Western,LaLiga2,2025/2026,,,,6.75,35,2796,5,1,,,,,,,,,,,,,,,,,5,1,,,6.75,35,31,,,,,,,,,,,,,,,,,,0.16,0.03,0.0,0.0,31.0,0,0.81,0.65,0.81,10,2,5,0,0.72,1460,85.2,112,41.6,10,2,1,50.0,6,66.7,149,58.9,72,59.0,2130,22,8,36,243,35,38,22,42,111,3,5,148,8,41,40.08,0,0,2796,0.0,0.03,0.02,0.03,0.32,0.06,0.16,0.0,0.02,47.0,85.23,3.61,41.64,0.32,0.06,0.03,50.0,0.19,66.67,4.8,58.89,2.32,59.02,68.56,0.71,0.26,1.16,7.82,1.13,1.22,0.71,1.35,3.57,0.1,0.16,4.76,0.26,1.32,1.29,,,,,,,1422465.81
729473,Keegan Rosenberry,Colorado Rapids,8314,https://www.fotmob.com/players/729473/keegan-rosenberry,Right Back,RB,defenders,173 cm,2.0,32,USA,Right,$547.0k,476890,€476.9k,2027-12-31,MLS,Western,Major League Soccer,2026,,,,6.71,11,411,0,0,,,,,,,,,,,,,,,,,0,0,,,6.71,11,2,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.0,1,0.20,0.07,0.20,3,2,1,0,1.00,198,83.5,6,37.5,6,2,7,50.0,2,50.0,20,50.0,8,53.3,339,11,3,3,31,7,7,1,5,24,1,3,16,1,9,7.37,1,0,411,0.22,0.04,0.02,0.04,0.66,0.44,0.22,0.0,0.22,43.36,83.54,1.31,37.5,1.31,0.44,1.53,50.0,0.44,50.0,4.38,50.0,1.75,53.33,74.23,2.41,0.66,0.66,6.79,1.53,1.53,0.22,1.09,5.26,0.22,0.66,3.5,0.22,1.97,1.61,,,,,,,546992.83
825603,Reggie Cannon,Colorado Rapids,8314,https://www.fotmob.com/players/825603/reggie-cannon,Right Back,RB,defenders,180 cm,4.0,28,USA,Right,$1.1m,960573,€960.6k,2027-12-31,MLS,Western,Major League Soccer,2026,,,,6.76,6,307,2,0,,,,,,,,,,,,,,,,,2,0,,,6.76,6,4,,,,,,,,,,,,,,,,,,0.59,0.0,0.0,0.0,4.0,0,0.01,0.01,0.01,1,1,,0,0.13,132,89.8,2,33.3,2,1,2,40.0,1,50.0,14,63.6,2,66.7,219,6,1,4,22,7,4,2,6,8,,,9,1,4,4.21,0,0,307,0.0,0.0,0.0,0.0,0.29,0.29,,0.0,0.04,38.7,89.8,0.59,33.33,0.59,0.29,0.59,40.0,0.29,50.0,4.1,63.64,0.59,66.67,64.2,1.76,0.29,1.17,6.45,2.05,1.17,0.59,1.76,2.35,,,2.64,0.29,1.17,1.23,,,,,,,1101777.23
626667,Rob Holding,Colorado Rapids,8314,https://www.fotmob.com/players/626667/rob-holding,Center Back,CB,defenders,189 cm,6.0,30,England,Right,$1.6m,1402459,€1.4m,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.62,13,979,1,1,,,,,,,,,,,,,,,,,1,1,,,6.62,13,12,,,,,,,,,,,,,,,,,,0.09,0.09,0.0,0.0,12.0,0,0.56,0.05,0.56,4,1,3,0,0.27,769,89.8,47,56.0,3,,,,2,66.7,37,57.8,20,60.6,978,10,4,,80,15,16,10,5,44,,4,39,2,19,16.48,0,0,979,0.0,0.05,0.0,0.05,0.37,0.09,0.28,0.0,0.02,70.69,89.84,4.32,55.95,0.28,,,,0.18,66.67,3.4,57.81,1.84,60.61,89.91,0.92,0.37,,7.35,1.38,1.47,0.92,0.46,4.04,,0.37,3.59,0.18,1.75,1.51,,,,,,,1608620.47
1337964,Ian Murphy,Colorado Rapids,8314,https://www.fotmob.com/players/1337964/ian-murphy,Center Back,CB,defenders,188 cm,19.0,26,USA,Left,$971.2k,846716,€846.7k,,MLS,Western,Major League Soccer,2026,,,,,1,6,0,0,,,,,,,,,,,,,,,,,0,0,,,,1,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971183.25
1686118,Lucas Herrington,Colorado Rapids,8314,https://www.fotmob.com/players/1686118/lucas-herrington,Center Back,CB,defenders,192 cm,22.0,18,Australia,Right,$1.8m,1595503,€1.6m,2029-12-31,MLS,Western,Major League Soccer,2026,,,,7.01,15,1350,4,0,,,,,,,,,,,,,,,,,4,0,,,7.01,15,15,,,,,,,,,,,,,,,,,,0.27,0.0,1.0,1.0,15.0,1,0.44,0.90,0.44,3,1,3,1,0.63,1162,94.2,46,68.7,4,2,,,1,100.0,67,66.3,38,77.6,1418,11,2,7,135,21,14,14,15,58,1,6,86,3,24,21.71,1,1,1350,0.07,0.03,0.06,0.03,0.2,0.07,0.2,0.07,0.04,77.47,94.17,3.07,68.66,0.27,0.13,,,0.07,100.0,4.47,66.34,2.53,77.55,94.53,0.73,0.13,0.47,9.0,1.4,0.93,0.93,1.0,3.87,0.07,0.4,5.73,0.2,1.6,1.45,,,,,,,1830041.94
1258251,Noah Cobb,Colorado Rapids,8314,https://www.fotmob.com/players/1258251/noah-cobb,Center Back,CB,defenders,183 cm,24.0,20,USA,Right,$1.4m,1191269,€1.2m,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.39,7,288,2,0,,,,,,,,,,,,,,,,,2,0,,,6.39,7,2,,,,,,,,,,,,,,,,,,0.62,0.0,0.0,0.0,2.0,0,0.08,,0.08,1,,1,0,0.24,221,90.2,12,54.5,1,,,,,,11,47.8,5,41.7,296,4,0,1,28,5,3,2,5,12,,2,18,1,6,3.91,0,0,288,0.0,0.02,,0.02,0.31,,0.31,0.0,0.08,69.06,90.2,3.75,54.55,0.31,,,,,,3.44,47.83,1.56,41.67,92.5,1.25,0.0,0.31,8.75,1.56,0.94,0.62,1.56,3.75,,0.62,5.62,0.31,1.88,1.22,,,,,,,1366385.54
