player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Possession - Penalties awarded,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Possession - Penalties awarded (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Defending - Possession won final 3rd,Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Defending - Possession won final 3rd (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),market_value_usd_raw
198426,Sean Johnson,DC United,6602,https://www.fotmob.com/players/198426/sean-johnson,Keeper,GK,keepers,193 cm,1.0,37,USA,Right,$170.3k,148477,€148.5k,2027-06-30,MLS,Eastern,Major League Soccer,2026,4.0,25.0,1/3,6.83,15,1350,0,0,52,67.5,25,0.54,4,1,2,33.3,1,5,8,203,53.4,68,28.1,0.03,0,0,25,4,6.83,15,15,1/3,3.47,67.53,1.67,0.04,0.27,0.07,0.13,33.33,0.07,0.33,0.53,13.53,53.42,4.53,28.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170303.12
1078951,Jordan Farr,DC United,6602,https://www.fotmob.com/players/1078951/jordan-farr,Keeper,GK,keepers,,24.0,31,USA,,$67.9k,59206,€59.2k,,MLS,Eastern,Major League Soccer,2025,,8.0,,6.46,3,247,0,0,2,66.7,1,,1,,,,0,,,26,65.0,4,22.2,,0,0,1,1,6.50,2,2,0/0,1.34,66.67,0.67,,0.67,,,,0.0,,,17.46,65.0,2.69,22.22,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67909.28
1338938,Lucas Bartlett,DC United,6602,https://www.fotmob.com/players/1338938/lucas-bartlett,Center Back,CB,defenders,191 cm,3.0,28,USA,,$1.2m,1013090,€1m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.01,15,1347,4,0,,,,,,,,,,,,,,,,,4,0,,,7.01,15,15,,,,,,,,,,,,,,,,,,0.27,0.0,2.0,0.0,15.0,2,1.90,2.91,1.90,15,5,11,0,0.32,421,69.0,51,29.1,5,1,50.0,86,62.8,56,70.0,856,42,2,14,2,162,15,18,15,23,63,5,114,4,25,19.86,2,0,1347,0.13,0.13,0.19,0.13,1.0,0.33,0.73,0.0,0.02,28.13,69.02,3.41,29.14,0.33,0.07,50.0,5.75,62.77,3.74,70.0,57.19,2.81,0.13,0.94,0.13,10.82,1.0,1.2,1.0,1.54,4.21,0.33,7.62,0.27,1.67,1.33,,,,,,,,,,,,,1162014.23
678384,Silvan Hefti,DC United,6602,https://www.fotmob.com/players/678384/silvan-hefti,Right Back,RB,defenders,184 cm,5.0,28,Switzerland,Right,$485.4k,423199,€423.2k,2027-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.77,14,1219,2,1,,,,,,,,,,,,,,,,,2,1,,,6.77,14,14,,,,,,,,,,,,,,,,,,0.15,0.07,0.0,2.0,14.0,0,0.12,,0.12,3,,,2,2.01,289,72.6,21,32.3,11,4,44.4,60,51.7,12,48.0,717,21,9,8,,93,36,19,3,17,49,12,35,4,18,15.78,0,2,1219,0.0,0.01,,0.01,0.22,,,0.15,0.15,21.34,72.61,1.55,32.31,0.81,0.3,44.44,4.43,51.72,0.89,48.0,52.94,1.55,0.66,0.59,,6.87,2.66,1.4,0.22,1.26,3.62,0.89,2.58,0.3,1.33,1.16,3,9,32.1,4,0.22,0.66,32.14,0.3,,,,,485409.25
1023942,Keisuke Kurokawa,DC United,6602,https://www.fotmob.com/players/1023942/keisuke-kurokawa,Left Back,LB,defenders,173 cm,6.0,29,Japan,Left,$841.8k,733886,€733.9k,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.9,15,1338,3,0,,,,,,,,,,,,,,,,,3,0,,,6.90,15,15,,,,,,,,,,,,,,,,,,0.2,0.0,0.0,3.0,15.0,0,0.37,0.35,0.37,5,2,,3,1.93,350,79.9,18,35.3,14,13,54.2,49,51.6,13,56.5,831,10,2,7,,83,17,28,4,12,60,12,34,4,25,20.15,0,3,1338,0.0,0.02,0.02,0.02,0.34,0.13,,0.2,0.13,23.54,79.91,1.21,35.29,0.94,0.87,54.17,3.3,51.58,0.87,56.52,55.9,0.67,0.13,0.47,,5.58,1.14,1.88,0.27,0.81,4.04,0.81,2.29,0.27,1.68,1.36,4,19,26.0,5,0.27,1.28,26.03,0.34,1,0.07,,,841767.24
1045118,Conner Antley,DC United,6602,https://www.fotmob.com/players/1045118/conner-antley,Right Back,RB,defenders,185 cm,12.0,31,USA,,$65.5k,57110,€57.1k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.19,4,26,0,0,,,,,,,,,,,,,,,,,0,0,,,6.19,4,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65505.17
1026114,Sean Nealis,DC United,6602,https://www.fotmob.com/players/1026114/sean-nealis,Center Back,CB,defenders,193 cm,13.0,29,USA,,$844.5k,736294,€736.3k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.29,4,63,0,0,,,,,,,,,,,,,,,,,0,0,,,6.29,4,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0,,,,0,,,0,0.00,27,81.8,1,33.3,,,,4,66.7,3,60.0,47,,0,,,13,1,1,,2,2,,11,0,2,0.81,0,0,63,0.0,,,,0.0,,,0.0,0.0,38.57,81.82,1.43,33.33,,,,5.71,66.67,4.29,60.0,67.14,,0.0,,,18.57,1.43,1.43,,2.86,2.86,,15.71,0.0,2.86,1.15,,,,,,,,,,,,,844529.22
825231,Kye Rowles,DC United,6602,https://www.fotmob.com/players/825231/kye-rowles,Center Back,CB,defenders,185 cm,15.0,27,Australia,Left,$740.7k,645805,€645.8k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.89,14,1260,1,0,,,,,,,,,,,,,,,,,1,0,,,6.89,14,14,,,,,,,,,,,,,,,,,,0.07,0.0,1.0,0.0,14.0,1,0.81,1.60,0.81,6,3,4,0,0.74,410,77.5,30,28.8,4,1,33.3,61,50.8,30,43.5,762,15,2,4,,170,26,23,17,8,39,9,104,4,21,18.08,1,0,1260,0.07,0.06,0.11,0.06,0.43,0.21,0.29,0.0,0.05,29.29,77.5,2.14,28.85,0.29,0.07,33.33,4.36,50.83,2.14,43.48,54.43,1.07,0.14,0.29,,12.14,1.86,1.64,1.21,0.57,2.79,0.64,7.43,0.29,1.5,1.29,2,,,,0.14,,,,,,,,740738.34
1904329,Nikola Markovic,DC United,6602,https://www.fotmob.com/players/1904329/nikola-markovic,defender,,defenders,193 cm,27.0,21,Canada,,$189.2k,164960,€165k,,MLS,Eastern,Major League Soccer,2026,,,,6.52,11,311,1,0,,,,,,,,,,,,,,,,,1,0,,,6.52,11,2,,,,,,,,,,,,,,,,,,0.29,0.0,0.0,1.0,2.0,0,0.07,,0.07,4,,1,1,0.09,82,71.3,6,46.2,2,3,50.0,38,56.7,18,60.0,226,4,4,8,,40,10,7,3,12,20,,20,1,6,6.84,0,1,311,0.0,0.02,,0.02,1.16,,0.29,0.29,0.03,23.73,71.3,1.74,46.15,0.58,0.87,50.0,11.0,56.72,5.21,60.0,65.4,1.16,1.16,2.32,,11.58,2.89,2.03,0.87,3.47,5.79,,5.79,0.29,1.74,1.98,,1,50.0,1,,0.29,50.0,0.29,1,0.29,,,189209.12
729733,Andre Dozzell,DC United,6602,https://www.fotmob.com/players/729733/andre-dozzell,Defensive Midfielder,DM,midfielders,178 cm,,27,England,Left,$1.7m,1447923,€1.4m,,MLS,Eastern,Championship,2025/2026,,,,6.73,37,3157,8,0,,,,,,,,,,,,,,,,,8,0,,,6.73,37,36,,,,,,,,,,,,,,,,,,0.23,0.0,2.0,1.0,36.0,2,0.95,1.15,0.95,16,4,,1,3.04,1051,83.8,76,51.4,25,16,64.0,100,51.0,31,51.7,1608,24,13,18,,113,35,25,14,34,137,11,39,10,46,45.55,2,1,3157,0.06,0.03,0.03,0.03,0.46,0.11,,0.03,0.09,29.96,83.81,2.17,51.35,0.71,0.46,64.0,2.85,51.02,0.88,51.67,45.84,0.68,0.37,0.51,,3.22,1.0,0.71,0.4,0.97,3.91,0.31,1.11,0.29,1.31,1.3,3,16,32.7,11,0.09,0.46,32.65,0.31,1,0.03,,,1660767.68
