player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Clean sheets,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Touches,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Touches (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xG,Shooting - xG excl. penalty,Possession - Aerials won,Possession - Aerials won %,Possession - Touches in opposition box,Defending - Blocked scoring attempt,Shooting - xG (per90),Shooting - xG excl. penalty (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches in opposition box (per90),Defending - Blocked scoring attempt (per90),Shooting - xGOT,Shooting - Shots on target,Shooting - Headed shots,Shooting - xGOT (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Defending - Penalties conceded,Defending - Possession won final 3rd,Defending - Penalties conceded (per90),Defending - Possession won final 3rd (per90),Passing - Successful crosses,Passing - Cross accuracy,Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Shooting - Penalty goals,Passing - Big chances created,Possession - Penalties awarded,Shooting - Penalty goals (per90),Passing - Big chances created (per90),Possession - Penalties awarded (per90),market_value_usd_raw
825599,Evan Louro,FC Cincinnati,722265,https://www.fotmob.com/players/825599/evan-louro,Keeper,GK,keepers,190 cm,13,30,USA,Right,$57.4k,50000.0,€50k,2026-12-31,MLS,Eastern,Major League Soccer,2026,7.0,0/1,5.27,2,180,0,0,7,50.0,7,-3.86,0,0,1,0.0,0,57,67.1,23,46.0,0.01,0,0,7,0,5.27,2,2,0/1,3.5,50.0,3.5,-1.93,0.0,0.0,0.5,0.0,0.0,28.5,67.06,11.5,46.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57350.0
1337962,Roman Celentano,FC Cincinnati,722265,https://www.fotmob.com/players/1337962/roman-celentano,Keeper,GK,keepers,191 cm,18,25,USA,Right,$2.1m,1872117.0,€1.9m,2027-12-31,MLS,Eastern,Major League Soccer,2026,30.0,1/3,6.53,13,1170,0,0,51,63.0,30,-1.07,2,1,2,33.3,2,272,78.2,77,51.0,0.01,0,0,30,2,6.53,13,13,1/3,3.92,62.96,2.31,-0.08,0.15,0.08,0.15,33.33,0.15,20.92,78.16,5.92,50.99,0.0,0.0,0.0,2.0,3,10,0.23,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147318.2
1384210,Fabian Mrozek,FC Cincinnati 2,722265,https://www.fotmob.com/players/1384210/fabian-mrozek,Keeper,GK,keepers,192 cm,93,22,Poland,Right,$265.0k,231063.0,€231.1k,,MLS,Eastern,MLS Next Pro,2026,8.0,,7.09,6,540,0,0,21,72.4,8,,2,,,,0,129,79.1,45,58.4,,0,0,8,2,7.09,6,6,0/0,3.5,72.41,1.33,,0.33,,,,0.0,21.5,79.14,7.5,58.44,,0.0,0.0,2.0,4,5,0.67,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265029.26
464916,Alvas Elvis Powell,FC Cincinnati,722265,https://www.fotmob.com/players/464916/alvas-elvis-powell,Center Back,CB,defenders,182 cm,2,31,Jamaica,Right,$57.4k,50000.0,€50k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.76,7,154,0,1,,,,,,,,,,,,,,,0,1,,,6.76,7,1,,,,,,,,,,,,,,,,0.0,0.58,,,,,,0.0,1.0,1.0,0,0,1,0.05,68,84.0,7,58.3,2,5,83.3,17,70.8,140,2,5,17,7,3,2,9,1,7,0,7,3.38,0,1,154,0.0,0.0,0.58,0.03,39.74,83.95,4.09,58.33,1.17,2.92,83.33,9.94,70.83,81.82,1.17,2.92,9.94,4.09,1.75,1.17,5.26,0.58,4.09,0.0,4.09,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57350.0
1354562,Gilberto Flores,FC Cincinnati,722265,https://www.fotmob.com/players/1354562/gilberto-flores,Center Back,CB,defenders,,3,23,Paraguay,Right,$1.4m,1205376.0,€1.2m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,6.14,7,303,1,0,,,,,,,,,,,,,,,1,0,,,6.14,7,4,,,,,,,,,,,,,,,,0.3,0.0,,,,,,0.0,0.0,4.0,0,1,0,0.03,144,82.3,10,41.7,,,,20,46.5,256,2,1,42,8,6,8,5,4,26,0,7,4.55,0,0,303,0.0,0.3,0.0,0.01,42.77,82.29,2.97,41.67,,,,5.94,46.51,76.04,0.59,0.3,12.48,2.38,1.78,2.38,1.49,1.19,7.72,0.0,2.08,1.35,0.01,0.01,11,61.1,3,2,0.0,0.0,3.27,61.11,0.89,0.59,,,,,,,,,,,,,,,,,,,,,1382566.27
525614,Nick Hagglund,FC Cincinnati,722265,https://www.fotmob.com/players/525614/nick-hagglund,Center Back,CB,defenders,185 cm,4,33,USA,Right,$189.6k,165344.0,€165.3k,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,6.5,13,859,1,0,,,,,,,,,,,,,,,1,0,,,6.50,13,9,,,,,,,,,,,,,,,,0.1,0.0,,,,,,1.0,0.0,9.0,1,10,0,0.30,416,85.4,29,59.2,1,,,50,60.2,671,1,4,86,11,5,11,16,4,62,1,22,17.63,1,0,859,0.1,1.05,0.0,0.03,43.59,85.42,3.04,59.18,0.1,,,5.24,60.24,70.3,0.1,0.42,9.01,1.15,0.52,1.15,1.68,0.42,6.5,0.1,2.31,1.85,0.64,0.64,35,67.3,18,8,0.07,0.07,3.67,67.31,1.89,0.84,1.03,3,9,0.11,0.31,0.94,,,,,,,,,,,,,,,189649.57
825623,Miles Robinson,FC Cincinnati,722265,https://www.fotmob.com/players/825623/miles-robinson,Center Back,CB,defenders,188 cm,12,29,USA,Right,$2.3m,1996919.0,€2m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,6.36,9,606,1,1,,,,,,,,,,,,,,,1,1,,,6.36,9,8,,,,,,,,,,,,,,,,0.15,0.15,,,,,,0.0,0.0,8.0,0,3,0,0.30,362,84.2,35,56.5,,2,100.0,33,63.5,524,1,2,61,10,5,9,23,1,35,1,14,9.31,0,0,606,0.0,0.45,0.0,0.04,53.76,84.19,5.2,56.45,,0.3,100.0,4.9,63.46,77.82,0.15,0.3,9.06,1.49,0.74,1.34,3.42,0.15,5.2,0.15,2.08,1.38,0.59,0.59,20,71.4,10,11,0.09,0.09,2.97,71.43,1.49,1.63,0.19,2,2,0.03,0.3,0.3,1,1,0.15,0.15,,,,,,,,,,,2290466.09
649947,Teenage Lingani Hadebe,FC Cincinnati,722265,https://www.fotmob.com/players/649947/teenage-lingani-hadebe,Center Back,CB,defenders,185 cm,15,30,Zimbabwe,Left,$411.7k,358971.0,€359k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.72,7,271,1,0,,,,,,,,,,,,,,,1,0,,,6.72,7,3,,,,,,,,,,,,,,,,0.33,0.0,,,,,,0.0,0.0,3.0,0,2,0,0.62,161,88.0,8,50.0,2,3,75.0,14,63.6,244,1,1,23,3,1,2,8,1,17,0,4,3.58,0,0,271,0.0,0.66,0.0,0.21,53.47,87.98,2.66,50.0,0.66,1.0,75.0,4.65,63.64,81.03,0.33,0.33,7.64,1.0,0.33,0.66,2.66,0.33,5.65,0.0,1.33,1.19,0.39,0.39,7,70.0,3,2,0.13,0.13,2.32,70.0,1.0,0.66,,,1,,,0.33,,1,,0.33,1,33.3,0.33,33.33,,,,,,,411739.74
458324,Matt Miazga,FC Cincinnati,722265,https://www.fotmob.com/players/458324/matt-miazga,Center Back,CB,defenders,195 cm,21,30,USA,Right,$1.1m,970354.0,€970.4k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.26,9,573,3,0,,,,,,,,,,,,,,,3,0,,,6.26,9,7,,,,,,,,,,,,,,,,0.47,0.0,,,,,,0.0,1.0,7.0,0,4,1,0.24,316,88.8,19,44.2,1,,,17,54.8,434,0,2,54,3,5,8,15,1,41,0,17,13.75,0,1,573,0.0,0.63,0.16,0.04,49.63,88.76,2.98,44.19,0.16,,,2.67,54.84,68.17,0.0,0.31,8.48,0.47,0.79,1.26,2.36,0.16,6.44,0.0,2.67,2.16,0.83,0.83,12,66.7,7,5,0.13,0.13,1.88,66.67,1.1,0.79,1.52,2,3,0.24,0.31,0.47,,,,,,,,,,,,,,,1112996.04
754583,Kyle Smith,FC Cincinnati,722265,https://www.fotmob.com/players/754583/kyle-smith,Center Back,CB,defenders,184 cm,24,34,USA,Right,$60.5k,52721.0,€52.7k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.03,11,653,1,1,,,,,,,,,,,,,,,1,1,,,6.03,11,7,,,,,,,,,,,,,,,,0.14,0.14,,,,,,1.0,0.0,7.0,1,4,0,0.07,313,87.9,26,54.2,1,,,21,46.7,498,0,1,61,13,7,5,15,8,39,0,23,13.35,1,0,653,0.14,0.55,0.0,0.01,43.14,87.92,3.58,54.17,0.14,,,2.89,46.67,68.64,0.0,0.14,8.41,1.79,0.96,0.69,2.07,1.1,5.38,0.0,3.17,1.84,0.92,0.92,7,41.2,4,2,0.13,0.13,0.96,41.18,0.55,0.28,0.68,2,1,0.09,0.28,0.14,1,1,0.14,0.14,,,,,,,,,,,60470.99
