player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - Chances created,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - Chances created (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Goalkeeping - Goals prevented,Distribution - xA,Goalkeeping - Goals prevented (per90),Distribution - xA (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Shooting - Shots on target,Passing - Assists,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Penalties conceded,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Shooting - Goals (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Passing - Assists (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Penalties conceded (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Headed shots,Passing - xA,Defending - xG against while on pitch,Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Headed shots (per90),Passing - xA (per90),Defending - xG against while on pitch (per90),Defending - Possession won final 3rd,Defending - Possession won final 3rd (per90),market_value_usd_raw
1735919,Pedro,Houston Dynamo 2,8259,https://www.fotmob.com/players/1735919/pedro-oliveira,Keeper,GK,keepers,188 cm,1,22,Brazil,,$28.7k,25000,€25k,,MLS,Western,MLS Next Pro,2026,5.0,8.0,0/1,7.61,11,990,0,0,48,85.7,8,5,0,1,0.0,0,6,17,282,78.3,51,39.8,1,0,0,8,5,7.61,11,11,0/1,4.36,85.71,0.73,0.45,0.0,0.09,0.0,0.0,0.55,1.55,25.64,78.33,4.64,39.84,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28675.0
254939,Jimmy Maurer,Houston Dynamo FC,8259,https://www.fotmob.com/players/254939/jimmy-maurer,Keeper,GK,keepers,188 cm,1,37,USA,Right,$57.4k,50000,€50k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,7.08,1,45,1,0,,,,,,,,,,,,,,,,1,0,,,7.08,1,0,,,,,,,,,,,,,,,,,,,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57350.0
1719247,Blake Gillingham,Houston Dynamo FC,8259,https://www.fotmob.com/players/1719247/blake-gillingham,Keeper,GK,keepers,188 cm,26,23,USA,,$137.6k,120000,€120k,,MLS,Western,Major League Soccer,2025,1.0,4.0,,7.26,4,293,0,0,1,100.0,0,1,,,,0,,,34,89.5,5,55.6,,0,0,0,1,7.10,1,1,0/0,1.0,100.0,0.0,1.0,,,,0.0,,,34.0,89.47,5.0,55.56,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137640.0
186882,Jonathan Bond,Houston Dynamo FC,8259,https://www.fotmob.com/players/186882/jonathan-bond,Keeper,GK,keepers,193 cm,31,33,England,Right,$208.0k,181327,€181.3k,2026-12-31,MLS,Western,Major League Soccer,2026,3.0,23.0,1/2,6.78,14,1215,0,0,36,61.0,23,3,1,1,50.0,0,5,11,286,76.3,73,45.9,1,0,0,23,3,6.78,14,14,1/2,2.67,61.02,1.7,0.22,0.07,0.07,50.0,0.0,0.37,0.81,21.19,76.27,5.41,45.91,0.07,0.0,0.0,,,,-4.46,0.01,-0.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207982.07
1904741,Reese Miller,Houston Dynamo 2,8259,https://www.fotmob.com/players/1904741/reese-miller,defender,,defenders,,27,22,USA,Left,$68.8k,60000,€60k,,MLS,Western,MLS Next Pro,2026,,,,7.06,7,289,1,0,,,,,,,,,,,,,,,,1,0,,,7.06,7,4,,,,,,,,,,,,,,,,,0.31,0.0,1,1,289,,,,,1.0,1.0,4.0,1,2,1,1,109,79.6,3,27.3,12,2,1,14.3,4,66.7,14,53.8,2,33.3,210,14,1,3,15,5,6,1,4,1,20,2,3,0,4,0.31,0.62,0.31,0.31,33.94,79.56,0.93,27.27,3.74,0.62,0.31,14.29,1.25,66.67,4.36,53.85,0.62,33.33,65.4,4.36,0.31,0.93,4.67,1.56,1.87,0.31,1.25,0.31,6.23,0.62,0.93,0.0,1.25,,,,,,,,,,,,,,,68820.0
865046,Tomás Wiesner,Houston Dynamo 2,8259,https://www.fotmob.com/players/865046/tom-s-wiesner,Right Back,RB,defenders,175 cm,99,28,Czechia,,$924.8k,806264,€806.3k,,MLS,Western,MLS Next Pro,2026,,,,7.48,2,151,0,0,,,,,,,,,,,,,,,,0,0,,,7.48,2,2,,,,,,,,,,,,,,,,,0.0,0.0,1,0,151,,,,,1.0,0.0,2.0,1,3,1,0,62,82.7,4,57.1,2,,1,20.0,1,100.0,6,40.0,,,124,4,3,,7,5,1,,4,,8,1,1,1,0,0.6,1.79,0.6,0.0,36.95,82.67,2.38,57.14,1.19,,0.6,20.0,0.6,100.0,3.58,40.0,,,73.91,2.38,1.79,,4.17,2.98,0.6,,2.38,,4.77,0.6,0.6,0.6,0.0,,,,,,,,,,,,,,,924784.81
319812,Antônio Carlos,Houston Dynamo FC,8259,https://www.fotmob.com/players/319812/ant-nio-carlos,Center Back,CB,defenders,191 cm,3,33,Brazil,Right,$155.8k,135868,€135.9k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.63,13,1035,0,1,,,,,,,,,,,,,,,,0,1,,,6.63,13,11,,,,,,,,,,,,,,,,,0.0,0.09,0,0,1035,,,,,0.0,0.0,11.0,0,6,1,0,486,92.7,34,68.0,3,,,,1,100.0,36,63.2,16,61.5,667,9,1,2,107,17,14,12,7,,36,3,64,4,17,0.0,0.52,0.09,0.0,42.26,92.75,2.96,68.0,0.26,,,,0.09,100.0,3.13,63.16,1.39,61.54,58.0,0.78,0.09,0.17,9.3,1.48,1.22,1.04,0.61,,3.13,0.26,5.57,0.35,1.48,0.55,0.16,0.55,4,0.17,15.66,0.05,0.01,0.05,0.35,0.01,1.36,,,155840.6
1043762,Lucas Halter,Houston Dynamo FC,8259,https://www.fotmob.com/players/1043762/lucas-halter,Center Back,CB,defenders,187 cm,5,26,Brazil,Right,$1.6m,1423289,€1.4m,2030-06-30,MLS,Western,Major League Soccer,2026,,,,6.9,3,250,1,0,,,,,,,,,,,,,,,,1,0,,,6.90,3,3,,,,,,,,,,,,,,,,,0.36,0.0,0,0,250,,,,,0.0,0.0,3.0,0,3,,0,106,86.9,7,53.8,1,,,,,,15,68.2,5,100.0,170,3,0,2,27,8,1,2,4,,4,2,16,0,4,0.0,1.08,,0.0,38.16,86.89,2.52,53.85,0.36,,,,,,5.4,68.18,1.8,100.0,61.2,1.08,0.0,0.72,9.72,2.88,0.36,0.72,1.44,,1.44,0.72,5.76,0.0,1.44,0.27,,0.27,2,0.06,4.08,0.1,,0.1,0.72,0.02,1.47,,,1632512.48
972488,Samuel Vines,Houston Dynamo FC,8259,https://www.fotmob.com/players/972488/samuel-vines,Left Back,LB,defenders,178 cm,13,27,USA,Left,$704.0k,613760,€613.8k,,MLS,Western,Major League Soccer,2026,,,,6.02,3,83,0,0,,,,,,,,,,,,,,,,0,0,,,6.02,3,1,,,,,,,,,,,,,,,,,0.0,0.0,0,0,83,,,,,0.0,0.0,1.0,0,1,1,0,19,79.2,2,66.7,,,,,,,4,57.1,,,42,1,1,,9,4,1,2,1,,2,,2,0,2,0.0,1.08,1.08,0.0,20.6,79.17,2.17,66.67,,,,,,,4.34,57.14,,,45.54,1.08,1.08,,9.76,4.34,1.08,2.17,1.08,,2.17,,2.17,0.0,2.17,0.06,0.11,0.06,,0.01,1.23,0.07,0.12,0.07,,0.01,1.33,,,703982.72
789046,Franco Negri,Houston Dynamo FC,8259,https://www.fotmob.com/players/789046/franco-negri,Left Back,LB,defenders,176 cm,21,31,Argentina,Left,$105.1k,91590,€91.6k,,MLS,Western,Major League Soccer,2026,,,,6.8,5,291,1,0,,,,,,,,,,,,,,,,1,0,,,6.80,5,4,,,,,,,,,,,,,,,,,0.31,0.0,0,0,291,,,,,0.0,0.0,4.0,0,2,,0,146,88.5,7,50.0,1,1,1,50.0,2,40.0,10,62.5,3,100.0,225,1,0,1,24,4,4,1,2,,11,2,15,1,3,0.0,0.62,,0.0,45.15,88.48,2.16,50.0,0.31,0.31,0.31,50.0,0.62,40.0,3.09,62.5,0.93,100.0,69.59,0.31,0.0,0.31,7.42,1.24,1.24,0.31,0.62,,3.4,0.62,4.64,0.31,0.93,0.03,,0.03,1,0.38,3.11,0.01,,0.01,0.31,0.12,0.96,,,105053.73
