player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - Assists,Distribution - Chances created,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - Assists (per90),Distribution - Chances created (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Penalties conceded,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Penalties conceded (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Defending - Possession won final 3rd,Defending - Possession won final 3rd (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),market_value_usd_raw
1026132,Luis Barraza,Inter Miami CF,960720,https://www.fotmob.com/players/1026132/luis-barraza,Keeper,GK,keepers,188 cm,13,29,USA,,$157.5k,137294,€137.3k,,MLS,Eastern,Major League Soccer,2025,3.0,39.0,0/2,6.68,24,2091,3,1,82,67.8,39,-2.06,3,0,2,0.0,1,12,18,419,59.3,152,35.3,1,2,0.06,3,1,39,3,6.68,24,24,0/3,3.53,67.77,1.68,-0.09,0.13,0.0,0.09,0.0,0.04,0.52,0.77,18.03,59.26,6.54,35.27,0.04,0.09,0.0,0.13,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157476.22
1216069,Rocco Ríos Novo,Inter Miami CF,960720,https://www.fotmob.com/players/1216069/rocco-r-os-novo,Keeper,GK,keepers,181 cm,34,24,Argentina,Right,$465.5k,405814,€405.8k,2029-06-30,MLS,Eastern,Major League Soccer,2026,1.0,,,8.59,1,90,0,0,5,100.0,0,1.25,1,,,,0,,1,42,95.5,2,50.0,,,0.00,0,0,0,1,8.59,1,1,0/0,5.0,100.0,0.0,1.25,1.0,,,,0.0,,1.0,42.0,95.45,2.0,50.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465468.66
1026105,Dayne St. Clair,Inter Miami CF,960720,https://www.fotmob.com/players/1026105/dayne-st-clair,Keeper,GK,keepers,191 cm,97,29,Canada,Left,$2.0m,1710536,€1.7m,2026-12-31,MLS,Eastern,Major League Soccer,2026,2.0,28.0,0/4,6.74,14,1260,3,0,41,59.4,28,-1.02,2,0,4,0.0,1,19,8,383,82.5,66,46.2,,1,0.04,3,0,28,2,6.74,14,14,0/4,2.93,59.42,2.0,-0.07,0.14,0.0,0.29,0.0,0.07,1.36,0.57,27.36,82.54,4.71,46.15,,0.07,0.0,0.21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961984.79
1257342,Gonzalo Luján,Inter Miami CF,960720,https://www.fotmob.com/players/1257342/gonzalo-luj-n,Center Back,CB,defenders,182 cm,2,25,Argentina,Right,$1.7m,1493897,€1.5m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.94,13,839,3,0,,,,,,,,,,,,,,,,,,,3,0,,,6.94,13,9,,,,,,,,,,,,,,,,,,,,0.32,0.0,1.0,0.0,9.0,1,0.28,0.81,0.28,4,1,2,0,0.16,523,86.2,19,29.7,4,2,1,50.0,6,75.0,51,56.7,13,48.1,758,7,3,7,77,25,14,7,13,1,39,7,31,3,16,15.15,1,0,839,0.11,0.03,0.09,0.03,0.43,0.11,0.21,0.0,0.02,56.1,86.16,2.04,29.69,0.43,0.21,0.11,50.0,0.64,75.0,5.47,56.67,1.39,48.15,81.31,0.75,0.32,0.75,8.26,2.68,1.5,0.75,1.39,0.11,4.18,0.75,3.33,0.32,1.72,1.62,,,,,,,1713499.86
724436,Sergio Reguilón,Inter Miami CF,960720,https://www.fotmob.com/players/724436/sergio-reguil-n,Left Back,LB,defenders,178 cm,3,29,Spain,Left,$2.4m,2107340,€2.1m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.78,6,358,1,0,,,,,,,,,,,,,,,,,,,1,0,,,6.78,6,5,,,,,,,,,,,,,,,,,,,,0.25,0.0,1.0,0.0,5.0,1,0.28,0.63,0.28,3,1,,0,1.62,153,75.7,11,47.8,5,2,6,33.3,2,40.0,15,44.1,4,36.4,287,11,0,4,20,5,4,1,8,1,17,3,10,1,10,7.94,1,0,358,0.25,0.07,0.16,0.07,0.75,0.25,,0.0,0.41,38.46,75.74,2.77,47.83,1.26,0.5,1.51,33.33,0.5,40.0,3.77,44.12,1.01,36.36,72.15,2.77,0.0,1.01,5.03,1.26,1.01,0.25,2.01,0.25,4.27,0.75,2.51,0.25,2.51,2.0,,,,,,,2417118.98
1029392,Facundo Mura,Inter Miami CF,960720,https://www.fotmob.com/players/1029392/facundo-mura,Right Back,RB,defenders,170 cm,4,27,Argentina,Right,$1.3m,1112297,€1.1m,,MLS,Eastern,Major League Soccer,2026,,,,6.55,12,700,0,0,,,,,,,,,,,,,,,,,,,0,0,,,6.55,12,6,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6.0,0,0.20,0.14,0.20,3,1,,0,0.79,339,88.7,14,58.3,6,2,5,22.7,1,50.0,17,60.7,2,40.0,529,13,2,7,31,7,6,1,2,,21,4,17,1,13,12.01,0,0,700,0.0,0.03,0.02,0.03,0.39,0.13,,0.0,0.1,43.59,88.74,1.8,58.33,0.77,0.26,0.64,22.73,0.13,50.0,2.19,60.71,0.26,40.0,68.01,1.67,0.26,0.9,3.99,0.9,0.77,0.13,0.26,,2.7,0.51,2.19,0.13,1.67,1.54,1,0.13,,,,,1275804.66
1262208,Micael,Inter Miami CF,960720,https://www.fotmob.com/players/1262208/micael,Center Back,CB,defenders,183 cm,16,25,Brazil,Left,$4.2m,3690740,€3.7m,,MLS,Eastern,Major League Soccer,2026,,,,6.97,14,1260,4,0,,,,,,,,,,,,,,,,,,,4,0,,,6.97,14,14,,,,,,,,,,,,,,,,,,,,0.29,0.0,1.0,0.0,14.0,1,0.48,0.64,0.48,7,2,5,0,0.31,926,93.8,40,61.5,1,,,,4,100.0,52,58.4,20,66.7,1154,10,2,6,105,22,20,16,17,,56,9,47,2,28,23.85,1,0,1260,0.07,0.03,0.05,0.03,0.5,0.14,0.36,0.0,0.02,66.14,93.82,2.86,61.54,0.07,,,,0.29,100.0,3.71,58.43,1.43,66.67,82.43,0.71,0.14,0.43,7.5,1.57,1.43,1.14,1.21,,4.0,0.64,3.36,0.14,2.0,1.7,2,0.14,,,,,4233278.78
1171135,Ian Fray,Inter Miami CF,960720,https://www.fotmob.com/players/1171135/ian-fray,Right Back,RB,defenders,183 cm,17,23,Jamaica,Right,$462.2k,402942,€402.9k,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.74,11,665,3,0,,,,,,,,,,,,,,,,,,,3,0,,,6.74,11,9,,,,,,,,,,,,,,,,,,,,0.41,0.0,1.0,1.0,9.0,1,1.33,1.76,1.33,6,3,4,1,0.80,262,85.1,5,45.5,7,3,3,15.8,5,35.7,37,46.2,3,33.3,478,23,4,17,31,12,7,4,14,,37,11,8,1,14,12.46,1,1,665,0.14,0.18,0.24,0.18,0.81,0.41,0.54,0.14,0.11,35.46,85.06,0.68,45.45,0.95,0.41,0.41,15.79,0.68,35.71,5.01,46.25,0.41,33.33,64.69,3.11,0.54,2.3,4.2,1.62,0.95,0.54,1.89,,5.01,1.49,1.08,0.14,1.89,1.69,1,0.14,,,,,462174.47
1502433,Tyler Hall,Inter Miami CF II,960720,https://www.fotmob.com/players/1502433/tyler-hall,Center Back,CB,defenders,178 cm,26,20,USA,Right,$827.4k,721368,€721.4k,,MLS,Eastern,MLS Next Pro,2026,,,,6.52,8,528,0,0,,,,,,,,,,,,,,,,,,,0,0,,,6.52,8,7,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,7.0,0,,,,6,2,1,0,,184,91.5,8,42.1,3,,,,1,33.3,26,56.5,6,35.3,305,6,1,8,68,11,10,12,4,,13,2,35,0,15,,0,0,528,0.0,,,,1.02,0.34,0.17,0.0,,31.36,91.54,1.36,42.11,0.51,,,,0.17,33.33,4.43,56.52,1.02,35.29,51.99,1.02,0.17,1.36,11.59,1.88,1.7,2.05,0.68,,2.22,0.34,5.97,0.0,2.56,,,,,,,,827409.1
1340790,Noah Allen,Inter Miami CF,960720,https://www.fotmob.com/players/1340790/noah-allen,Left Back,LB,defenders,175 cm,32,22,Greece,Left,$2.0m,1777593,€1.8m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.74,12,759,2,0,,,,,,,,,,,,,,,,,,,2,0,,,6.74,12,10,,,,,,,,,,,,,,,,,,,,0.24,0.0,0.0,1.0,10.0,0,,,,0,,,1,0.73,419,89.0,17,48.6,3,1,3,25.0,5,50.0,36,58.1,8,53.3,638,7,3,4,49,19,10,2,7,,25,4,18,1,14,13.12,0,1,759,0.0,,,,0.0,,,0.12,0.09,49.68,88.96,2.02,48.57,0.36,0.12,0.36,25.0,0.59,50.0,4.27,58.06,0.95,53.33,75.65,0.83,0.36,0.47,5.81,2.25,1.19,0.24,0.83,,2.96,0.47,2.13,0.12,1.66,1.56,,,,,,,2038899.17
