player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - Chances created,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - Chances created (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots on target,Passing - xA,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Touches in opposition box,Defending - Blocked scoring attempt,Defending - Possession won final 3rd,Defending - xG against while on pitch,Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots on target (per90),Passing - xA (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Touches in opposition box (per90),Defending - Blocked scoring attempt (per90),Defending - Possession won final 3rd (per90),Defending - xG against while on pitch (per90),Shooting - Headed shots,Possession - Dribbles,Possession - Dribbles success rate,Shooting - Headed shots (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),market_value_usd_raw
26295,Hugo Lloris,Los Angeles FC,867280,https://www.fotmob.com/players/26295/hugo-lloris,Keeper,GK,keepers,188 cm,1.0,39,France,Left,$574.4k,500745,€500.7k,,MLS,Western,Major League Soccer,2026,8.0,12.0,7.11,12,1080,0,0,33,73.3,12,1.09,8,1,2,10,150,59.8,49,33.3,1,0.02,0,0,12,8,7.11,12,12,0/0,2.75,73.33,1.0,0.09,0.67,0.08,0.17,0.83,12.5,59.76,4.08,33.33,0.08,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574354.52
1031221,Thomas Hasal,Los Angeles FC II,867280,https://www.fotmob.com/players/1031221/thomas-hasal,Keeper,GK,keepers,193 cm,12.0,26,Canada,Right,$126.8k,110560,€110.6k,,MLS,Western,MLS Next Pro,2026,,1.0,7.75,1,90,0,0,5,62.5,3,-0.90,1,0,2,1,18,81.8,1,20.0,,0.00,0,0,3,1,6.34,3,3,0/0,2.14,62.5,1.29,-0.39,0.43,0.0,0.86,0.43,7.71,81.82,0.43,20.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126812.32
1349978,Cabral Carter,Los Angeles FC II,867280,https://www.fotmob.com/players/1349978/cabral-carter,Keeper,GK,keepers,193 cm,31.0,21,USA,Right,$96.3k,84000,€84k,,MLS,Western,MLS Next Pro,2026,,5.0,6.73,3,270,0,0,,,5.0,,,,,,,,,,,,0,0,,,6.32,1,0,,,,,,,,,,,,,,,,,,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96348.0
1476710,Christian Díaz,Los Angeles FC II,867280,https://www.fotmob.com/players/1476710/christian-d-az,Center Back,CB,defenders,,44.0,20,USA,Right,$137.6k,120000,€120k,,MLS,Western,MLS Next Pro,2026,,,6.45,3,128,0,0,,,,,,,,,,,,,,,0,0,,,6.45,3,2,,,,,,,,,,,,,,,,0.0,0.0,0,0,128,0.0,0.0,2.0,0,0,0,64,86.5,1,14.3,5,45.5,1,33.3,88,0,1,12,3,2,1,1,2,7,0,2,0.0,0.0,0.0,45.0,86.49,0.7,14.29,3.52,45.45,0.7,33.33,61.88,0.0,0.7,8.44,2.11,1.41,0.7,0.7,1.41,4.92,0.0,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137640.0
769349,Evgen Cheberko,Los Angeles FC,867280,https://www.fotmob.com/players/769349/evgen-cheberko,Center Back,CB,defenders,177 cm,,28,Ukraine,Left,$768.4k,669905,€669.9k,,MLS,Western,Major League Soccer,2026,,,6.41,3,83,0,0,,,,,,,,,,,,,,,0,0,,,6.41,3,0,,,,,,,,,,,,,,,,,,0,0,83,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768381.04
837974,Eddie Segura,Los Angeles FC,867280,https://www.fotmob.com/players/837974/eddie-segura,Center Back,CB,defenders,178 cm,4.0,29,Colombia,Right,$920.8k,802798,€802.8k,2026-12-31,MLS,Western,Major League Soccer,2026,,,6.84,13,1119,3,0,,,,,,,,,,,,,,,3,0,,,6.84,13,13,,,,,,,,,,,,,,,,0.24,0.0,0,0,1119,0.0,0.0,13.0,0,1,0,669,89.7,15,38.5,40,50.6,18,58.1,970,4,2,84,20,14,11,42,7,44,8,14,0.0,0.08,0.0,53.81,89.68,1.21,38.46,3.22,50.63,1.45,58.06,78.02,0.32,0.16,6.76,1.61,1.13,0.88,3.38,0.56,3.54,0.64,1.13,0.03,0.02,0.03,1,0.84,7,2,1,20.0,11,6,4,14.45,0.0,0.0,0.0,0.08,0.07,0.56,0.16,0.08,20.0,0.88,0.48,0.32,1.16,,,,,,,920809.31
770998,Ryan Porteous,Los Angeles FC,867280,https://www.fotmob.com/players/770998/ryan-porteous,Center Back,CB,defenders,188 cm,5.0,27,Scotland,Right,$2.1m,1817511,€1.8m,,MLS,Western,Major League Soccer,2026,,,6.93,13,1068,3,0,,,,,,,,,,,,,,,3,0,,,6.93,13,11,,,,,,,,,,,,,,,,0.25,0.0,0,0,1068,0.0,0.0,11.0,0,9,0,634,89.0,35,44.9,52,71.2,19,65.5,882,0,9,115,22,15,9,44,2,68,7,12,0.0,0.76,0.0,53.43,89.04,2.95,44.87,4.38,71.23,1.6,65.52,74.33,0.0,0.76,9.69,1.85,1.26,0.76,3.71,0.17,5.73,0.59,1.01,0.85,0.05,0.85,1,0.43,5,1,2,100.0,11,10,1,12.70,0.07,0.0,0.07,0.08,0.04,0.42,0.08,0.17,100.0,0.93,0.84,0.08,1.07,6,2,100.0,0.51,0.17,100.0,2084685.12
627490,Sergi Palencia,Los Angeles FC,867280,https://www.fotmob.com/players/627490/sergi-palencia,Right Back,RB,defenders,168 cm,14.0,30,Spain,Right,$1.7m,1507935,€1.5m,2028-12-31,MLS,Western,Major League Soccer,2026,,,6.89,9,626,2,0,,,,,,,,,,,,,,,2,0,,,6.89,9,8,,,,,,,,,,,,,,,,0.29,0.0,1,0,626,1.0,0.0,8.0,1,3,0,246,83.1,7,33.3,21,44.7,2,25.0,424,1,5,28,10,6,14,22,3,12,3,6,0.14,0.43,0.0,35.37,83.11,1.01,33.33,3.02,44.68,0.29,25.0,60.96,0.14,0.72,4.03,1.44,0.86,2.01,3.16,0.43,1.73,0.43,0.86,0.36,0.50,0.36,1,0.16,4,,1,5.3,10,,2,6.12,0.05,0.07,0.05,0.14,0.02,0.58,,0.14,5.26,1.44,,0.29,0.88,,4,66.7,,0.58,66.67,1729601.44
1438379,Lorenzo Dellavalle,Los Angeles FC,867280,https://www.fotmob.com/players/1438379/lorenzo-dellavalle,Center Back,CB,defenders,190 cm,15.0,22,Italy,Right,$197.3k,172008,€172k,,MLS,Western,MLS Next Pro,2025,,,6.2,3,135,0,0,,,,,,,,,,,,,,,0,0,,,6.20,3,3,,,,,,,,,,,,,,,,0.0,0.0,0,0,135,0.0,0.0,3.0,0,1,0,103,88.0,8,53.3,4,36.4,2,33.3,136,1,1,14,1,2,,5,1,10,0,4,0.0,0.67,0.0,68.67,88.03,5.33,53.33,2.67,36.36,1.33,33.33,90.67,0.67,0.67,9.33,0.67,1.33,,3.33,0.67,6.67,0.0,2.67,,,,1,,1,,,,,1,,,,,,0.67,,0.67,,,,,0.67,,,,,,,,,197293.18
1052761,Ryan Raposo,Los Angeles FC,867280,https://www.fotmob.com/players/1052761/ryan-raposo,Right Back,RB,defenders,170 cm,21.0,27,Canada,Both,$311.6k,271677,€271.7k,2028-06-30,MLS,Western,Major League Soccer,2026,,,6.64,7,323,2,0,,,,,,,,,,,,,,,2,0,,,6.64,7,3,,,,,,,,,,,,,,,,0.56,0.0,0,0,323,0.0,0.0,3.0,0,7,0,147,88.0,6,46.2,19,61.3,3,50.0,256,1,8,18,6,5,7,11,1,5,0,6,0.0,1.95,0.0,40.96,88.02,1.67,46.15,5.29,61.29,0.84,50.0,71.33,0.28,2.23,5.02,1.67,1.39,1.95,3.07,0.28,1.39,0.0,1.67,0.58,,0.58,,0.56,6,1,4,22.2,11,2,,5.81,0.16,,0.16,,0.16,1.67,0.28,1.11,22.22,3.07,0.56,,1.62,1,2,66.7,0.28,0.56,66.67,311613.52
