player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Distribution - Chances created,Distribution - Chances created (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - Headed shots,Defending - Possession won final 3rd,Shooting - Headed shots (per90),Defending - Possession won final 3rd (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),market_value_usd_raw
729988,Matt Turner,New England Revolution,6580,https://www.fotmob.com/players/729988/matt-turner,Keeper,GK,keepers,190 cm,30,31,USA,Right,$1.7m,1499611,€1.5m,2028-06-30,MLS,Eastern,Major League Soccer,2026,3.0,18.0,0/1,7.42,14,1260,1,0,60,76.9,18,5.98,3,0,1,0.0,1,4,14,307,72.7,67,37.0,0.01,1,0,18,3,7.42,14,14,0/1,4.29,76.92,1.29,0.43,0.21,0.0,0.07,0.0,0.07,0.29,1.0,21.93,72.75,4.79,37.02,0.0,0.07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720053.82
1715314,Donovan Parisian,New England Revolution II,6580,https://www.fotmob.com/players/1715314/donovan-parisian,Keeper,GK,keepers,193 cm,33,21,Armenia,,$80.3k,70000,€70k,,MLS,Eastern,MLS Next Pro,2026,3.0,7.0,,6.85,7,630,1,0,16,69.6,7,,3,,,,0,2,5,145,74.4,29,38.7,,1,0,7,3,6.85,7,7,0/0,2.29,69.57,1.0,,0.43,,,,0.0,0.29,0.71,20.71,74.36,4.14,38.67,,0.14,0.0,1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80290.0
1640887,JD Gunn,New England Revolution II,6580,https://www.fotmob.com/players/1640887/jd-gunn,Keeper,GK,keepers,198 cm,73,26,Panama,,$165.3k,144090,€144.1k,,MLS,Eastern,MLS Next Pro,2026,2.0,3.0,,6.84,4,360,0,0,9,75.0,3,,2,,,,0,1,2,57,76.0,16,50.0,,0,0,3,2,6.84,4,4,0/0,2.25,75.0,0.75,,0.5,,,,0.0,0.25,0.5,14.25,76.0,4.0,50.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165271.23
785536,Mamadou Fofana,New England Revolution,6580,https://www.fotmob.com/players/785536/mamadou-fofana,Center Back,CB,defenders,187 cm,2,28,Mali,Both,$1.4m,1219504,€1.2m,,MLS,Eastern,Major League Soccer,2026,,,,7.37,13,1170,3,0,,,,,,,,,,,,,,,,,3,0,,,7.37,13,13,,,,,,,,,,,,,,,,,,0.23,0.0,,,1.0,0.0,13.0,1,0.43,0.44,0.43,1,1,0,0.57,719,91.2,36,42.9,5,1,1,100.0,4,100.0,40,62.5,10,50.0,959,2,0,1,138,25,16,10,6,56,8,87,3,14,18.42,1,0,1170,0.08,0.03,0.03,0.03,0.08,0.08,0.0,0.04,55.31,91.24,2.77,42.86,0.38,0.08,0.08,100.0,0.31,100.0,3.08,62.5,0.77,50.0,73.77,0.15,0.0,0.08,10.62,1.92,1.23,0.77,0.46,4.31,0.62,6.69,0.23,1.08,1.42,,,,,,,,,,,1398771.09
1289123,Brayan Ceballos,New England Revolution,6580,https://www.fotmob.com/players/1289123/brayan-ceballos,Center Back,CB,defenders,183 cm,3,25,Colombia,Right,$1.4m,1217231,€1.2m,,MLS,Eastern,Major League Soccer,2026,,,,7.09,8,633,3,0,,,,,,,,,,,,,,,,,3,0,,,7.09,8,8,,,,,,,,,,,,,,,,,,0.43,0.0,,,2.0,0.0,8.0,2,0.45,1.43,0.45,3,2,0,0.20,305,87.1,27,50.9,2,,1,100.0,6,100.0,42,59.2,14,63.6,479,9,4,10,64,12,10,12,13,34,5,30,2,7,8.92,2,0,633,0.28,0.06,0.2,0.06,0.43,0.28,0.0,0.03,43.36,87.14,3.84,50.94,0.28,,0.14,100.0,0.85,100.0,5.97,59.15,1.99,63.64,68.1,1.28,0.57,1.42,9.1,1.71,1.42,1.71,1.85,4.83,0.71,4.27,0.28,1.0,1.27,3,3,0.43,0.43,,,,,,,1396163.96
1136294,Tanner Beason,New England Revolution,6580,https://www.fotmob.com/players/1136294/tanner-beason,Center Back,CB,defenders,185 cm,4,29,USA,Right,$514.7k,448713,€448.7k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.74,5,55,0,0,,,,,,,,,,,,,,,,,0,0,,,6.74,5,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514673.81
1477873,Ilay Feingold,New England Revolution,6580,https://www.fotmob.com/players/1477873/ilay-feingold,Right Back,RB,defenders,178 cm,12,21,Israel,Right,$2.9m,2509653,€2.5m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.11,9,666,1,0,,,,,,,,,,,,,,,,,1,0,,,7.11,9,8,,,,,,,,,,,,,,,,,,0.14,0.0,,,1.0,0.0,8.0,1,0.92,0.23,0.92,6,1,0,0.92,335,87.0,15,44.1,7,3,5,21.7,7,43.8,36,51.4,3,25.0,588,17,6,13,45,13,8,,3,24,7,24,2,7,9.36,1,0,666,0.14,0.12,0.03,0.12,0.81,0.14,0.0,0.12,45.27,87.01,2.03,44.12,0.95,0.41,0.68,21.74,0.95,43.75,4.86,51.43,0.41,25.0,79.46,2.3,0.81,1.76,6.08,1.76,1.08,,0.41,3.24,0.95,3.24,0.27,0.95,1.26,,,,,,,,,,,2878571.99
1520636,Damario McIntosh,New England Revolution II,6580,https://www.fotmob.com/players/1520636/damario-mcintosh,Right Back,RB,defenders,178 cm,19,18,USA,Right,$74.6k,65000,€65k,,MLS,Eastern,MLS Next Pro,2026,,,,7.42,11,833,2,0,,,,,,,,,,,,,,,,,2,0,,,7.42,11,9,,,,,,,,,,,,,,,,,,0.22,0.0,,,1.0,3.0,9.0,1,,,,9,2,3,,326,76.0,20,43.5,17,1,11,29.7,8,34.8,49,61.2,8,57.1,677,31,3,18,38,15,9,,4,47,4,14,3,8,,1,3,833,0.11,,,,0.97,0.22,0.32,,35.22,75.99,2.16,43.48,1.84,0.11,1.19,29.73,0.86,34.78,5.29,61.25,0.86,57.14,73.15,3.35,0.32,1.94,4.11,1.62,0.97,,0.43,5.08,0.43,1.51,0.32,0.86,,2,,0.22,,1,0.11,,,,,74555.0
1448104,Ethan Kohler,New England Revolution,6580,https://www.fotmob.com/players/1448104/ethan-kohler,Center Back,CB,defenders,183 cm,22,21,USA,Right,$571.0k,497795,€497.8k,,MLS,Eastern,Major League Soccer,2026,,,,6.7,10,812,1,0,,,,,,,,,,,,,,,,,1,0,,,6.70,10,9,,,,,,,,,,,,,,,,,,0.11,0.0,,,0.0,0.0,9.0,0,0.34,0.43,0.34,3,1,0,0.07,579,96.8,10,50.0,,,,,,,29,56.9,15,57.7,710,5,0,4,74,10,9,10,6,17,5,45,1,13,15.72,0,0,812,0.0,0.04,0.05,0.04,0.33,0.11,0.0,0.01,64.17,96.82,1.11,50.0,,,,,,,3.21,56.86,1.66,57.69,78.69,0.55,0.0,0.44,8.2,1.11,1.0,1.11,0.67,1.88,0.55,4.99,0.11,1.44,1.74,2,,0.22,,,,,,,,570970.86
1338765,Will Sands,New England Revolution,6580,https://www.fotmob.com/players/1338765/will-sands,Left Back,LB,defenders,178 cm,23,25,USA,Left,$172.5k,150355,€150.4k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.98,14,1197,2,0,,,,,,,,,,,,,,,,,2,0,,,6.98,14,14,,,,,,,,,,,,,,,,,,0.15,0.0,,,1.0,0.0,14.0,1,0.86,0.92,0.86,9,2,0,0.50,409,83.0,10,25.6,9,1,7,26.9,5,50.0,82,59.0,27,48.2,777,25,6,25,90,26,12,4,15,41,3,48,3,16,20.41,1,0,1197,0.08,0.06,0.07,0.06,0.68,0.15,0.0,0.04,30.75,82.96,0.75,25.64,0.68,0.08,0.53,26.92,0.38,50.0,6.17,58.99,2.03,48.21,58.42,1.88,0.45,1.88,6.77,1.95,0.9,0.3,1.13,3.08,0.23,3.61,0.23,1.2,1.53,5,2,0.38,0.15,,,,,,,172457.18
