player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Goalkeeping - Goals prevented,Distribution - xA,Goalkeeping - Goals prevented (per90),Distribution - xA (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xG,Shooting - xG excl. penalty,Shooting - Headed shots,Defending - Penalties conceded,Defending - Possession won final 3rd,Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Headed shots (per90),Defending - Penalties conceded (per90),Defending - Possession won final 3rd (per90),Shooting - xGOT,Shooting - Shots on target,Passing - Successful crosses,Passing - Cross accuracy,Shooting - xGOT (per90),Shooting - Shots on target (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),market_value_usd_raw
1781007,Maclean Learned,New York City FC II,546238,https://www.fotmob.com/players/1781007/maclean-learned,keeper,,keepers,,31,23,USA,,$45.9k,40000.0,€40k,,MLS,Eastern,MLS Next Pro,2026,2.0,15.0,0/2,6.9,9,810,0,0,35,70.0,15,2,0,2,0.0,0,8,5,287,85.4,24,34.3,0,0,15,2,6.90,9,9,0/2,3.89,70.0,1.67,0.22,0.0,0.22,0.0,0.0,0.89,0.56,31.89,85.42,2.67,34.29,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45880.0
1078053,Tomás Romero,New York City FC II,546238,https://www.fotmob.com/players/1078053/tom-s-romero,Keeper,GK,keepers,188 cm,30,25,El Salvador,Right,$152.1k,132585.0,€132.6k,,MLS,Eastern,MLS Next Pro,2026,,1.0,,7.07,1,90,0,0,4,80.0,1,0,,,,0,,,42,77.8,4,25.0,0,0,1,0,7.07,1,1,0/0,4.0,80.0,1.0,0.0,,,,0.0,,,42.0,77.78,4.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152075.0
1026065,Matt Freese,New York City FC,546238,https://www.fotmob.com/players/1026065/matt-freese,Keeper,GK,keepers,191 cm,49,27,USA,Right,$1.6m,1413830.0,€1.4m,2030-12-31,MLS,Eastern,Major League Soccer,2026,3.0,21.0,0/3,6.79,15,1350,0,0,50,70.4,21,3,0,3,0.0,1,7,5,278,78.8,50,41.3,0,0,21,3,6.79,15,15,0/3,3.33,70.42,1.4,0.2,0.0,0.2,0.0,0.07,0.47,0.33,18.53,78.75,3.33,41.32,0.0,0.0,0.53,0.01,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621663.01
1720649,Nico Cavallo,New York City FC,546238,https://www.fotmob.com/players/1720649/nico-cavallo,Left Back,LB,defenders,,2,24,USA,,$722.6k,630000.0,€630k,,MLS,Eastern,Major League Soccer,2026,,,,6.8,6,447,1,0,,,,,,,,,,,,,,,1,0,,,6.80,6,5,,,,,,,,,,,,,,,,0.2,0.0,,,,,0.0,0.0,5.0,0,0,0,0.53,162,86.6,5,55.6,2,1,2,50.0,20,52.6,4,57.1,299,4,4,2,29,12,5,1,4,14,5,11,2,6,7.95,0,0,447,0.0,0.0,0.0,0.11,32.62,86.63,1.01,55.56,0.4,0.2,0.4,50.0,4.03,52.63,0.81,57.14,60.2,0.81,0.81,0.4,5.84,2.42,1.01,0.2,0.81,2.82,1.01,2.21,0.4,1.21,1.6,,,,,,,,,,,,,,,,,,,,,,,722610.0
498296,Thiago Martins,New York City FC,546238,https://www.fotmob.com/players/498296/thiago-martins,Center Back,CB,defenders,185 cm,13,31,Brazil,Right,$1.4m,1210471.0,€1.2m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.92,14,1241,0,0,,,,,,,,,,,,,,,0,0,,,6.92,14,14,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,14.0,0,2,0,0.32,1101,91.9,51,54.8,1,,,,33,66.0,22,75.9,1350,6,3,2,105,9,9,14,3,70,4,73,2,19,17.32,0,0,1241,0.0,0.15,0.0,0.02,79.85,91.9,3.7,54.84,0.07,,,,2.39,66.0,1.6,75.86,97.9,0.44,0.22,0.15,7.61,0.65,0.65,1.02,0.22,5.08,0.29,5.29,0.15,1.38,1.26,0.38,0.38,1,1,1,0.03,0.03,0.07,0.07,0.07,,,,,,,,,,,,,1388410.24
939536,Strahinja Tanasijevic,New York City FC,546238,https://www.fotmob.com/players/939536/strahinja-tanasijevic,Center Back,CB,defenders,183 cm,19,29,Serbia,,$103.6k,90345.0,€90.3k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.42,3,83,0,0,,,,,,,,,,,,,,,0,0,,,6.42,3,1,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,1.0,0,0,0,0.03,71,92.2,,,,,,,5,50.0,3,60.0,94,,1,1,4,1,,,2,3,,3,0,3,2.52,0,0,83,0.0,0.0,0.0,0.03,76.99,92.21,,,,,,,5.42,50.0,3.25,60.0,101.93,,1.08,1.08,4.34,1.08,,,2.17,3.25,,3.25,0.0,3.25,2.73,,,,,,,,,,,,,,,,,,,,,,,103625.72
769648,Kevin O'Toole,New York City FC,546238,https://www.fotmob.com/players/769648/kevin-o-toole,Left Back,LB,defenders,178 cm,22,27,Ireland,Left,$726.9k,633774.0,€633.8k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.69,10,900,0,0,,,,,,,,,,,,,,,0,0,,,6.69,10,10,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,10.0,0,4,0,0.69,501,89.0,6,27.3,3,1,3,37.5,32,54.2,11,61.1,772,18,6,4,40,14,6,2,6,39,3,18,1,16,13.18,0,0,900,0.0,0.4,0.0,0.07,50.1,88.99,0.6,27.27,0.3,0.1,0.3,37.5,3.2,54.24,1.1,61.11,77.2,1.8,0.6,0.4,4.0,1.4,0.6,0.2,0.6,3.9,0.3,1.8,0.1,1.6,1.32,0.36,0.36,1,1,1,0.04,0.04,0.1,0.1,0.1,0.03,2,5,22.7,0.0,0.2,0.5,22.73,,,,,726938.78
1755977,Max Murray,New York City FC II,546238,https://www.fotmob.com/players/1755977/maxwell-murray,Center Back,CB,defenders,196 cm,23,24,USA,,$149.1k,130000.0,€130k,,MLS,Eastern,MLS Next Pro,2026,,,,6.51,3,270,1,0,,,,,,,,,,,,,,,1,0,,,6.51,3,3,,,,,,,,,,,,,,,,0.33,0.0,,,,,0.0,0.0,3.0,0,0,0,,201,84.5,17,48.6,1,1,,,11,57.9,7,87.5,276,,3,1,27,3,3,2,4,18,,19,1,6,,0,0,270,0.0,0.0,0.0,,67.0,84.45,5.67,48.57,0.33,0.33,,,3.67,57.89,2.33,87.5,92.0,,1.0,0.33,9.0,1.0,1.0,0.67,1.33,6.0,,6.33,0.33,2.0,,,,,,,,,,,,,,,,,,,,,,,,149110.0
1107250,Tayvon Gray,New York City FC,546238,https://www.fotmob.com/players/1107250/tayvon-gray,Right Back,RB,defenders,180 cm,24,23,Jamaica,,$2.1m,1848913.0,€1.8m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.21,14,1217,2,1,,,,,,,,,,,,,,,2,1,,,7.21,14,14,,,,,,,,,,,,,,,,0.15,0.07,,,,,1.0,1.0,14.0,1,9,1,1.41,682,85.4,34,41.5,11,2,10,66.7,66,62.9,9,42.9,1108,14,4,18,82,29,16,5,16,69,5,32,3,16,16.26,1,1,1217,0.07,0.67,0.07,0.1,50.44,85.36,2.51,41.46,0.81,0.15,0.74,66.67,4.88,62.86,0.67,42.86,81.94,1.04,0.3,1.33,6.06,2.14,1.18,0.37,1.18,5.1,0.37,2.37,0.22,1.18,1.2,0.68,0.68,2,,3,0.05,0.05,0.15,,0.22,1.37,4,9,40.9,0.1,0.3,0.67,40.91,,,,,2120703.21
1202678,Raul,New York City FC,546238,https://www.fotmob.com/players/1202678/raul,Center Back,CB,defenders,190 cm,34,27,Brazil,,,,,,MLS,Eastern,Major League Soccer,2026,,,,6.83,14,951,3,0,,,,,,,,,,,,,,,3,0,,,6.83,14,10,,,,,,,,,,,,,,,,0.28,0.0,,,,,0.0,0.0,10.0,0,7,0,0.27,737,87.6,62,52.5,1,,3,75.0,51,62.2,25,58.1,1012,14,1,8,107,16,13,7,9,34,4,71,2,15,16.35,0,0,951,0.0,0.66,0.0,0.03,69.75,87.63,5.87,52.54,0.09,,0.28,75.0,4.83,62.2,2.37,58.14,95.77,1.32,0.09,0.76,10.13,1.51,1.23,0.66,0.85,3.22,0.38,6.72,0.19,1.42,1.55,0.42,0.42,5,,,0.04,0.04,0.47,,,0.28,2,,,0.03,0.19,,,,,,,
