player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xG excl. penalty,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xGOT,Shooting - Shots on target,Shooting - Headed shots,Shooting - xGOT (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),market_value_usd_raw
1346741,Javier Otero,Orlando City B,267810,https://www.fotmob.com/players/1346741/javier-otero,Keeper,GK,keepers,198 cm,12.0,23,Venezuela,,$167.2k,145813,€145.8k,,MLS,Eastern,MLS Next Pro,2026,3.0,1/1,6.23,1,90,0,0,4,40.0,6,-2.70,0,0,1,0.0,0,1,3,25,46.3,10,25.6,0.00,0,0,6,0,5.56,2,1,0/1,2.24,40.0,3.35,-1.51,0.0,0.0,0.56,0.0,0.0,0.56,1.68,13.98,46.3,5.59,25.64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167247.51
464919,Maxime Crépeau,Orlando City,267810,https://www.fotmob.com/players/464919/maxime-cr-peau,Keeper,GK,keepers,185 cm,71.0,32,Canada,Right,$1.2m,1015415,€1m,,MLS,Eastern,Major League Soccer,2026,38.0,0/2,6.46,14,1186,2,1,62,62.0,38,-0.69,0,0,2,0.0,0,8,15,201,71.0,45,36.3,0.00,2,1,38,0,6.46,14,14,0/2,4.7,62.0,2.88,-0.05,0.0,0.0,0.15,0.0,0.0,0.61,1.14,15.25,71.02,3.41,36.29,0.0,0.15,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164681.01
571685,Adrián Marin,Orlando City,267810,https://www.fotmob.com/players/571685/adri-n-marin,Center Back,CB,defenders,181 cm,3.0,29,Spain,Left,$754.9k,658179,€658.2k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.75,13,933,3,0,,,,,,,,,,,,,,,,,3,0,,,6.75,13,10,,,,,,,,,,,,,,,,,,0.29,0.0,0.0,3.0,10.0,0,0.09,0.09,1,3,0.63,409,81.6,14,26.9,7,1,4,44.4,2,40.0,40,59.7,10,52.6,683,5,1,7,76,21,12,7,11,30,1,3,36,0,25,23.49,0,3,933,0.0,0.01,0.01,0.1,0.29,0.06,39.45,81.64,1.35,26.92,0.68,0.1,0.39,44.44,0.19,40.0,3.86,59.7,0.96,52.63,65.88,0.48,0.1,0.68,7.33,2.03,1.16,0.68,1.06,2.89,0.1,0.29,3.47,0.0,2.41,2.27,,,,,,,,,,,,,754931.31
1110819,David Brekalo,Orlando City,267810,https://www.fotmob.com/players/1110819/david-brekalo,Center Back,CB,defenders,186 cm,4.0,27,Slovenia,Right,$2.5m,2197876,€2.2m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,5.98,11,797,2,0,,,,,,,,,,,,,,,,,2,0,,,5.98,11,9,,,,,,,,,,,,,,,,,,0.23,0.0,0.0,0.0,9.0,0,0.36,0.36,5,0,0.06,337,88.2,11,39.3,,,,,1,100.0,37,53.6,15,68.2,500,11,1,5,85,16,3,14,14,21,1,10,52,0,29,21.52,0,0,797,0.0,0.04,0.04,0.56,0.0,0.01,38.06,88.22,1.24,39.29,,,,,0.11,100.0,4.18,53.62,1.69,68.18,56.46,1.24,0.11,0.56,9.6,1.81,0.34,1.58,1.58,2.37,0.11,1.13,5.87,0.0,3.27,2.43,0.12,1,3,0.01,0.11,0.34,,,,,,,2520963.77
202179,Robin Jansson,Orlando City,267810,https://www.fotmob.com/players/202179/robin-jansson,Center Back,CB,defenders,185 cm,6.0,34,Sweden,,$258.4k,225291,€225.3k,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,6.23,9,753,1,0,,,,,,,,,,,,,,,,,1,0,,,6.23,9,9,,,,,,,,,,,,,,,,,,0.12,0.0,0.0,0.0,9.0,0,,,0,0,0.08,426,88.9,23,42.6,1,,,,1,100.0,12,48.0,5,62.5,565,1,1,1,68,5,7,11,4,21,,5,45,0,19,15.73,0,0,753,0.0,,,0.0,0.0,0.01,50.92,88.94,2.75,42.59,0.12,,,,0.12,100.0,1.43,48.0,0.6,62.5,67.53,0.12,0.12,0.12,8.13,0.6,0.84,1.31,0.48,2.51,,0.6,5.38,0.0,2.27,1.88,,,,,,,1,0.12,,,,,258408.78
1724409,Zakaria Taifi,Orlando City B,267810,https://www.fotmob.com/players/1724409/zakaria-taifi,Right Back,RB,defenders,185 cm,19.0,20,USA,Right,$535.9k,467182,€467.2k,,MLS,Eastern,MLS Next Pro,2026,,,7.01,3,254,3,0,,,,,,,,,,,,,,,,,0,0,,,6.59,10,3,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,3.0,0,0.23,0.23,5,2,0.84,78,78.8,2,14.3,3,2,1,20.0,,,18,54.5,3,75.0,188,8,2,9,28,6,5,2,3,7,,7,15,0,8,6.39,0,2,336,0.0,0.06,0.06,1.34,0.54,0.22,20.89,78.79,0.54,14.29,0.8,0.54,0.27,20.0,,,4.82,54.55,0.8,75.0,50.36,2.14,0.54,2.41,7.5,1.61,1.34,0.54,0.8,1.88,,1.88,4.02,0.0,2.14,1.71,0.33,3,,0.09,0.8,,,,,,,,535857.75
1900962,Nolan Miller,Orlando City,267810,https://www.fotmob.com/players/1900962/nolan-miller,Center Back,CB,defenders,188 cm,21.0,21,USA,,$96.3k,84000,€84k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,5.25,5,329,2,0,,,,,,,,,,,,,,,,,2,0,,,5.25,5,4,,,,,,,,,,,,,,,,,,0.55,0.0,0.0,0.0,4.0,0,0.07,0.07,1,0,0.01,154,90.1,2,22.2,,,,,,,10,66.7,8,100.0,208,2,2,1,23,2,2,2,1,8,,2,17,0,17,10.52,0,0,329,0.0,0.02,0.02,0.27,0.0,0.0,42.13,90.06,0.55,22.22,,,,,,,2.74,66.67,2.19,100.0,56.9,0.55,0.55,0.27,6.29,0.55,0.55,0.55,0.27,2.19,,0.55,4.65,0.0,4.65,2.88,,,1,,,0.27,1,0.27,,,,,96348.0
1023941,Griffin Dorsey,Orlando City,267810,https://www.fotmob.com/players/1023941/griffin-dorsey,Right Back,RB,defenders,182 cm,24.0,27,USA,Right,$1.1m,947790,€947.8k,2028-06-30,MLS,Eastern,Major League Soccer,2026,,,6.77,12,957,1,0,,,,,,,,,,,,,,,,,1,0,,,6.77,12,11,,,,,,,,,,,,,,,,,,0.09,0.0,2.0,1.0,11.0,2,1.64,1.64,12,1,0.48,199,76.2,6,20.7,9,1,4,15.4,3,33.3,45,54.2,10,43.5,509,27,10,9,64,23,9,8,8,32,2,2,24,0,30,23.83,2,1,957,0.19,0.15,0.15,1.13,0.09,0.05,18.71,76.25,0.56,20.69,0.85,0.09,0.38,15.38,0.28,33.33,4.23,54.22,0.94,43.48,47.87,2.54,0.94,0.85,6.02,2.16,0.85,0.75,0.75,3.01,0.19,0.19,2.26,0.0,2.82,2.24,1.77,5,2,0.17,0.47,0.19,,,,,,,1087115.13
1611215,Tahir Reid-Brown,Orlando City B,267810,https://www.fotmob.com/players/1611215/tahir-reid-brown,Left Back,LB,defenders,188 cm,29.0,19,USA,Left,$765.5k,667375,€667.4k,,MLS,Eastern,MLS Next Pro,2026,,,6.09,3,256,1,0,,,,,,,,,,,,,,,,,1,0,,,5.79,7,2,,,,,,,,,,,,,,,,,,0.41,0.0,0.0,0.0,3.0,0,,,0,0,0.02,75,84.3,3,33.3,,,,,1,33.3,8,36.4,1,16.7,130,1,1,4,9,2,2,,3,14,1,3,5,0,11,6.10,0,0,221,0.0,,,0.0,0.0,0.01,30.54,84.27,1.22,33.33,,,,,0.41,33.33,3.26,36.36,0.41,16.67,52.94,0.41,0.41,1.63,3.67,0.81,0.81,,1.22,5.7,0.41,1.22,2.04,0.0,4.48,2.48,,,,,,,,,,,,,765479.12
1780484,Bernardo Rhein,Orlando City B,267810,https://www.fotmob.com/players/1780484/bernardo-rhein-goncalves,Left Back,LB,defenders,173 cm,44.0,18,USA,,$34.4k,30000,€30k,,MLS,Eastern,MLS Next Pro,2026,,,7.36,13,1158,3,0,,,,,,,,,,,,,,,,,3,0,,,,1,0,,,,,,,,,,,,,,,,,,,,1.0,3.0,13.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34410.0
