player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - Chances created,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - Chances created (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Dispossessed,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Dispossessed (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Shooting - xG,Shooting - xG excl. penalty,Shooting - Headed shots,Passing - xA,Possession - Touches in opposition box,Possession - Fouls won,Defending - Possession won final 3rd,Defending - xG against while on pitch,Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Headed shots (per90),Passing - xA (per90),Possession - Touches in opposition box (per90),Possession - Fouls won (per90),Defending - Possession won final 3rd (per90),Defending - xG against while on pitch (per90),Shooting - xGOT,Shooting - Shots on target,Shooting - xGOT (per90),Shooting - Shots on target (per90),Passing - Big chances created,Passing - Big chances created (per90),Shooting - Penalty goals,Possession - Penalties awarded,Shooting - Penalty goals (per90),Possession - Penalties awarded (per90),market_value_usd_raw
525631,Andre Blake,Philadelphia Union,191716,https://www.fotmob.com/players/525631/andre-blake,Keeper,GK,keepers,193 cm,18,35,Jamaica,Right,$113.8k,99231,€99.2k,2026-12-31,MLS,Eastern,Major League Soccer,2026,2.0,26.0,6.42,14,1260,0,0,28,51.9,26,-4.42,2,0,7,7,260,76.9,76,49.7,1,0.04,0,0,26,2,6.42,14,14,0/0,2.0,51.85,1.86,-0.32,0.14,0.0,0.5,0.5,18.57,76.92,5.43,49.67,0.07,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113817.96
1338676,George Marks,Philadelphia Union II,191716,https://www.fotmob.com/players/1338676/george-marks,Keeper,GK,keepers,185 cm,31,26,USA,Right,$226.8k,197716,€197.7k,,MLS,Eastern,MLS Next Pro,2026,2.0,4.0,7.46,5,450,2,0,21,84.0,4,,2,1,5,5,113,67.3,27,33.8,,,2,0,4,2,7.46,5,5,0/0,4.2,84.0,0.8,,0.4,0.2,1.0,1.0,22.6,67.26,5.4,33.75,,,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226780.25
1617260,Andrew Rick,Philadelphia Union II,191716,https://www.fotmob.com/players/1617260/andrew-rick,Keeper,GK,keepers,188 cm,74,20,USA,,$1.1m,980555,€980.6k,,MLS,Eastern,MLS Next Pro,2026,,4.0,6.51,3,270,0,0,2,33.3,4,-1.45,0,0,,,17,81.0,5,55.6,,0.00,1,0,4,0,4.09,1,1,0/1,2.0,33.33,4.0,-1.45,0.0,0.0,,,17.0,80.95,5.0,55.56,,0.0,1.0,0.0,0,1,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124696.58
1668442,Kaiden Moore,Philadelphia Union II,191716,https://www.fotmob.com/players/1668442/kaiden-moore,Center Back,CB,defenders,,46,19,USA,,$34.4k,30000,€30k,,MLS,Eastern,MLS Next Pro,2026,,,6.62,6,325,0,0,,,,,,,,,,,,,,,0,0,,,6.62,6,3,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,1.0,3.0,0,0,1,121,79.6,2,10.5,1,1,20.0,3,100.0,12,38.7,5,45.5,210,1,20,4,2,1,10,12,2,13,0,4,0,1,325,0.0,0.0,0.28,33.51,79.61,0.55,10.53,0.28,0.28,20.0,0.83,100.0,3.32,38.71,1.38,45.45,58.15,0.28,5.54,1.11,0.55,0.28,2.77,3.32,0.55,3.6,0.0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,34410.0
1686706,Geiner Martínez,Philadelphia Union,191716,https://www.fotmob.com/players/1686706/geiner-mart-nez,Center Back,CB,defenders,189 cm,2,23,Colombia,Right,$371.7k,324096,€324.1k,2028-06-30,MLS,Eastern,Major League Soccer,2026,,,6.43,7,458,2,0,,,,,,,,,,,,,,,2,0,,,6.43,7,4,,,,,,,,,,,,,,,,0.39,0.0,,,,,,,0.0,0.0,4.0,0,3,0,133,80.6,10,35.7,1,,,2,50.0,21,52.5,4,50.0,240,3,41,13,9,1,10,23,1,18,0,12,0,0,458,0.0,0.59,0.0,26.14,80.61,1.97,35.71,0.2,,,0.39,50.0,4.13,52.5,0.79,50.0,47.16,0.59,8.06,2.55,1.77,0.2,1.97,4.52,0.2,3.54,0.0,2.36,0.79,0.79,1,0.04,4,2,1,9.14,0.16,0.16,0.2,0.01,0.79,0.39,0.2,1.8,,,,,,,,,,,371738.11
1052987,Japhet Sery Larsen,Philadelphia Union,191716,https://www.fotmob.com/players/1052987/japhet-sery-larsen,Center Back,CB,defenders,,5,26,Denmark,Right,$1.2m,1039261,€1m,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,6.65,10,733,4,1,,,,,,,,,,,,,,,4,1,,,6.65,10,9,,,,,,,,,,,,,,,,0.49,0.12,,,,,,,1.0,0.0,9.0,1,2,0,250,78.6,22,39.3,2,,,1,100.0,36,50.0,8,50.0,430,3,67,15,15,4,22,37,5,33,1,12,1,0,733,0.12,0.25,0.0,30.7,78.62,2.7,39.29,0.25,,,0.12,100.0,4.42,50.0,0.98,50.0,52.8,0.37,8.23,1.84,1.84,0.49,2.7,4.54,0.61,4.05,0.12,1.47,0.13,0.13,1,0.52,10,12,1,9.98,0.02,0.02,0.12,0.06,1.23,1.47,0.12,1.23,0.10,2,0.01,0.25,,,,,,,1192032.37
1748225,Philippe Ossibadjouo,Philadelphia Union,191716,https://www.fotmob.com/players/1748225/philippe-ossibadjouo,Left Back,LB,defenders,,20,21,France,Right,$1.7m,1500000,€1.5m,,MLS,Eastern,Major League Soccer,2026,,,5.49,6,220,1,0,,,,,,,,,,,,,,,1,0,,,5.49,6,3,,,,,,,,,,,,,,,,0.41,0.0,,,,,,,0.0,0.0,3.0,0,3,0,64,76.2,1,12.5,2,1,16.7,1,12.5,15,35.7,3,42.9,172,3,14,6,2,1,9,16,4,5,0,8,0,0,220,0.0,1.23,0.0,26.18,76.19,0.41,12.5,0.82,0.41,16.67,0.41,12.5,6.14,35.71,1.23,42.86,70.36,1.23,5.73,2.45,0.82,0.41,3.68,6.55,1.64,2.05,0.0,3.27,0.20,0.20,,0.19,2,5,2,5.28,0.08,0.08,,0.08,0.82,2.05,0.82,2.16,0.07,1,0.03,0.41,1,0.41,,,,,1720500.0
1078071,Nathan Harriel,Philadelphia Union,191716,https://www.fotmob.com/players/1078071/nathan-harriel,Right Back,RB,defenders,178 cm,26,25,USA,Right,$1.2m,1045420,€1m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,7.05,15,1350,2,0,,,,,,,,,,,,,,,2,0,,,7.05,15,15,,,,,,,,,,,,,,,,0.13,0.0,,,,,,,1.0,1.0,15.0,1,16,1,404,73.3,20,32.3,6,2,8.0,7,70.0,133,63.0,65,71.4,979,7,149,36,47,3,23,57,20,63,2,30,1,1,1350,0.07,1.07,0.07,26.93,73.32,1.33,32.26,0.4,0.13,8.0,0.47,70.0,8.87,63.03,4.33,71.43,65.27,0.47,9.93,2.4,3.13,0.2,1.53,3.8,1.33,4.2,0.13,2.0,1.79,1.79,6,0.85,43,25,4,24.46,0.12,0.12,0.4,0.06,2.87,1.67,0.27,1.63,1.20,4,0.08,0.27,2,0.13,,,,,1199096.74
1469826,Olwethu Makhanya,Philadelphia Union,191716,https://www.fotmob.com/players/1469826/olwethu-makhanya,Center Back,CB,defenders,185 cm,29,22,South Africa,Right,$2.0m,1770272,€1.8m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,6.78,13,1170,4,1,,,,,,,,,,,,,,,4,1,,,6.78,13,13,,,,,,,,,,,,,,,,0.31,0.08,,,,,,,0.0,0.0,13.0,0,6,0,545,79.6,43,43.4,6,1,50.0,5,83.3,69,56.6,32,66.7,908,13,112,30,16,6,14,85,9,60,2,22,0,0,1170,0.0,0.46,0.0,41.92,79.56,3.31,43.43,0.46,0.08,50.0,0.38,83.33,5.31,56.56,2.46,66.67,69.85,1.0,8.62,2.31,1.23,0.46,1.08,6.54,0.69,4.62,0.15,1.69,0.30,0.30,3,0.60,23,2,2,17.52,0.02,0.02,0.23,0.05,1.77,0.15,0.15,1.35,0.50,1,0.04,0.08,,,,,,,2030501.98
1483557,Giovanny Sequera,Philadelphia Union II,191716,https://www.fotmob.com/players/1483557/giovanny-sequera,Right Back,RB,defenders,170 cm,38,20,Venezuela,Right,$854.0k,744522,€744.5k,,MLS,Eastern,MLS Next Pro,2026,,,7.16,11,830,6,0,,,,,,,,,,,,,,,0,0,,,7.45,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,9.0,0,1,0,12,60.0,3,42.9,,,,2,66.7,13,72.2,4,100.0,50,0,4,2,1,,4,6,,1,0,1,0,0,82,0.0,1.1,0.0,13.17,60.0,3.29,42.86,,,,2.2,66.67,14.27,72.22,4.39,100.0,54.88,0.0,4.39,2.2,1.1,,4.39,6.59,,1.1,0.0,1.1,0.08,0.08,,0.02,3,6,1,0.79,0.08,0.08,,0.02,3.29,6.59,1.1,0.87,,,,,,,,,,,853966.73
