player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Clean sheets,Distribution - Chances created,Distribution - Chances created (per90),All Competitions - Saved penalties,Goalkeeping - Goals prevented,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Distribution - xA,Goalkeeping - Goals prevented (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Distribution - xA (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots on target,Shooting - Headed shots,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Defending - Penalties conceded,Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Defending - Penalties conceded (per90),Possession - Penalties awarded,Defending - Possession won final 3rd,Possession - Penalties awarded (per90),Defending - Possession won final 3rd (per90),market_value_usd_raw
1025925,Trey Muse,Portland Timbers,307690,https://www.fotmob.com/players/1025925/trey-muse,Keeper,GK,keepers,193 cm,25,26,USA,,$124.1k,108200,€108.2k,2026-12-31,MLS,Western,MLS Next Pro,2025,7.0,6.44,4,359,0,0,12,63.2,7,0,0,3,2,115,83.3,15,40.5,0,0,7,0,6.44,4,4,0/0,3.01,63.16,1.75,0.0,0.0,0.75,0.5,28.83,83.33,3.76,40.54,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124105.4
1082981,Hunter Sulte,Portland Timbers 2,307690,https://www.fotmob.com/players/1082981/hunter-sulte,Keeper,GK,keepers,201 cm,26,24,USA,,$128.2k,111756,€111.8k,,MLS,Western,MLS Next Pro,2026,10.0,6.53,5,450,0,0,14,58.3,10,2,2,8,4,68,66.0,17,34.0,0,0,10,2,6.53,5,5,0/0,2.8,58.33,2.0,0.4,0.4,1.6,0.8,13.6,66.02,3.4,34.0,0.0,0.0,2.0,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128184.13
878311,James Pantemis,Portland Timbers,307690,https://www.fotmob.com/players/878311/james-pantemis,Keeper,GK,keepers,185 cm,41,29,Canada,,$587.8k,512459,€512.5k,2026-12-31,MLS,Western,Major League Soccer,2026,28.0,7.01,14,1260,1,0,69,71.1,28,1,1,8,9,327,78.2,67,44.7,1,0,28,1,7.01,14,14,0/2,4.93,71.13,2.0,0.07,0.07,0.57,0.64,23.36,78.23,4.79,44.67,0.07,0.0,1.0,1,0.07,0/2,3.88,0,2,0.0,0.01,0.28,0.0,0.14,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587790.47
1027412,Kamal Miller,Portland Timbers,307690,https://www.fotmob.com/players/1027412/kamal-miller,Center Back,CB,defenders,183 cm,4,29,Canada,Left,$1.3m,1167666,€1.2m,2026-12-31,MLS,Western,Major League Soccer,2026,,6.38,10,559,2,1,,,,,,,,,,,,2,1,,,6.38,10,7,,,,,,,,,,,,,0.32,0.16,,,,,,,,,,,,,,,0.0,0.0,7.0,0,0,0,0.09,397,91.9,21,53.8,1,1,100.0,20,57.1,10,71.4,522,1,0,6,62,3,7,6,9,29,2,46,1,14,11.51,0,0,559,0.0,0.0,0.0,0.01,63.92,91.9,3.38,53.85,0.16,0.16,100.0,3.22,57.14,1.61,71.43,84.04,0.16,0.0,0.97,9.98,0.48,1.13,0.97,1.45,4.67,0.32,7.41,0.16,2.25,1.85,,,,,,,,,,,,,,,,,,,,,,,1339312.9
926582,Brandon Bye,Portland Timbers,307690,https://www.fotmob.com/players/926582/brandon-bye,Right Back,RB,defenders,183 cm,5,30,USA,,$1.2m,1011594,€1m,2027-12-31,MLS,Western,Major League Soccer,2026,,6.58,14,1186,2,0,,,,,,,,,,,,2,0,,,6.58,14,13,,,,,,,,,,,,,0.15,0.0,,,,,,,,,,,,,,,0.0,1.0,13.0,0,9,1,1.76,422,77.0,12,35.3,13,4,23.5,62,53.4,34,70.8,866,36,4,3,83,22,7,4,11,46,13,50,1,26,25.85,0,1,1186,0.0,0.68,0.08,0.13,32.02,77.01,0.91,35.29,0.99,0.3,23.53,4.7,53.45,2.58,70.83,65.72,2.73,0.3,0.23,6.3,1.67,0.53,0.3,0.83,3.49,0.99,3.79,0.08,1.97,1.96,0.69,0.13,0.69,2,5,4,9,17.0,1,0.05,0.01,0.05,0.15,0.38,0.3,0.68,16.98,0.08,,,,,1160298.32
1364185,Alex Bonetig,Portland Timbers,307690,https://www.fotmob.com/players/1364185/alex-bonetig,Center Back,CB,defenders,184 cm,6,23,Australia,Left,$372.8k,324986,€325k,2028-06-30,MLS,Western,Major League Soccer,2026,,6.54,8,650,1,0,,,,,,,,,,,,1,0,,,6.54,8,7,,,,,,,,,,,,,0.14,0.0,,,,,,,,,,,,,,,1.0,0.0,7.0,1,1,0,0.06,319,92.5,9,37.5,,2,33.3,17,53.1,5,50.0,430,4,0,3,58,7,10,8,5,16,1,33,0,14,15.95,1,0,650,0.14,0.14,0.0,0.01,44.17,92.46,1.25,37.5,,0.28,33.33,2.35,53.12,0.69,50.0,59.54,0.55,0.0,0.42,8.03,0.97,1.38,1.11,0.69,2.22,0.14,4.57,0.0,1.94,2.21,0.09,0.28,0.09,1,,,,,,0.01,0.04,0.01,0.14,,,,,,,,,,372758.94
525618,Eric Miller,Portland Timbers,307690,https://www.fotmob.com/players/525618/eric-miller,defender,,defenders,186 cm,15,33,USA,Right,$57.4k,50000,€50k,2026-12-31,MLS,Western,Major League Soccer,2025,,6.38,16,427,0,0,,,,,,,,,,,,0,0,,,6.38,16,3,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,3.0,0,2,0,0.16,143,76.9,8,44.4,3,1,33.3,16,45.7,7,50.0,294,8,2,,39,8,5,1,3,18,5,25,0,8,10.57,0,0,427,0.0,0.42,0.0,0.03,30.14,76.88,1.69,44.44,0.63,0.21,33.33,3.37,45.71,1.48,50.0,61.97,1.69,0.42,,8.22,1.69,1.05,0.21,0.63,3.79,1.05,5.27,0.0,1.69,2.23,0.16,,0.16,,1,,2,25.0,,0.03,,0.03,,0.21,,0.42,25.0,,,,,,57350.0
1631608,Sawyer Jura,Portland Timbers 2,307690,https://www.fotmob.com/players/1631608/sawyer-jura,Right Back,RB,defenders,,16,20,USA,,$137.6k,120000,€120k,,MLS,Western,MLS Next Pro,2026,,6.94,6,499,1,0,,,,,,,,,,,,1,0,,,6.94,6,6,,,,,,,,,,,,,0.18,0.0,,,,,,,,,,,,,,,0.0,2.0,6.0,0,1,2,,182,83.9,5,55.6,7,2,28.6,25,55.6,4,66.7,321,4,2,5,32,14,5,1,6,20,5,12,2,10,,0,2,499,0.0,0.18,0.36,,32.83,83.87,0.9,55.56,1.26,0.36,28.57,4.51,55.56,0.72,66.67,57.9,0.72,0.36,0.9,5.77,2.53,0.9,0.18,1.08,3.61,0.9,2.16,0.36,1.8,,,,,,,1,4,36.4,,,,,,,0.18,0.72,36.36,,,,,,137640.0
1167796,Zac McGraw,Portland Timbers,307690,https://www.fotmob.com/players/1167796/zac-mcgraw,Center Back,CB,defenders,193 cm,18,29,Canada,,$161.6k,140863,€140.9k,2026-12-31,MLS,Western,Major League Soccer,2025,,6.18,4,241,2,0,,,,,,,,,,,,2,0,,,6.18,4,3,,,,,,,,,,,,,0.75,0.0,,,,,,,,,,,,,,,0.0,0.0,3.0,0,0,0,0.01,104,88.9,5,33.3,,2,100.0,13,54.2,3,33.3,154,,2,2,26,6,4,2,3,4,,,1,6,5.79,0,0,241,0.0,0.0,0.0,0.0,38.84,88.89,1.87,33.33,,0.75,100.0,4.85,54.17,1.12,33.33,57.51,,0.75,0.75,9.71,2.24,1.49,0.75,1.12,1.49,,,0.37,2.24,2.16,,,,,,,,,1,,,,,,,,,0.37,,,,,161569.86
1325761,Finn Surman,Portland Timbers,307690,https://www.fotmob.com/players/1325761/finn-surman,Center Back,CB,defenders,190 cm,20,22,New Zealand,Right,$1.5m,1346387,€1.3m,2026-12-31,MLS,Western,Major League Soccer,2026,,6.89,14,1215,1,0,,,,,,,,,,,,1,0,,,6.89,14,14,,,,,,,,,,,,,0.07,0.0,,,,,,,,,,,,,,,0.0,1.0,14.0,0,4,1,0.24,689,91.6,12,37.5,4,1,50.0,64,71.9,28,66.7,968,7,1,10,164,25,17,30,5,38,4,92,1,28,27.67,0,1,1215,0.0,0.3,0.07,0.02,51.04,91.62,0.89,37.5,0.3,0.07,50.0,4.74,71.91,2.07,66.67,71.7,0.52,0.07,0.74,12.15,1.85,1.26,2.22,0.37,2.81,0.3,6.81,0.07,2.07,2.05,0.57,0.65,0.57,2,1,,,,,0.04,0.05,0.04,0.15,0.07,,,,,1,1,0.07,0.07,1544305.89
