player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xG excl. penalty,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - Shots on target,Shooting - Headed shots,Shooting - Shots on target (per90),Shooting - Headed shots (per90),Shooting - xGOT,Shooting - xGOT (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),market_value_usd_raw
172157,Rafael Cabral,Real Salt Lake,6606,https://www.fotmob.com/players/172157/rafael-cabral,Keeper,GK,keepers,186 cm,1,36,Brazil,Right,$249.0k,217072,€217.1k,,MLS,Western,Major League Soccer,2026,2.0,19.0,0/2,6.98,14,1260,0,0,43,69.4,19,2.23,2,0,2,0.0,0,7,4,469,79.1,74,38.7,0.44,0,0,19,2,6.98,14,14,0/2,3.07,69.35,1.36,0.16,0.14,0.0,0.14,0.0,0.0,0.5,0.29,33.5,79.09,5.29,38.74,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248981.58
1710671,Max Kerkvliet,Real Monarchs SLC,6606,https://www.fotmob.com/players/1710671/max-kerkvliet,Keeper,GK,keepers,196 cm,24,20,USA,,$34.4k,30000,€30k,,MLS,Western,MLS Next Pro,2026,1.0,17.0,2/3,6.77,9,810,0,0,30,63.8,17,,1,2,1,66.7,0,8,1,203,82.2,23,39.0,,0,0,17,1,6.77,9,9,2/3,3.33,63.83,1.89,,0.11,0.22,0.11,66.67,0.0,0.89,0.11,22.56,82.19,2.56,38.98,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34410.0
432040,DeAndre Yedlin,Real Salt Lake,6606,https://www.fotmob.com/players/432040/deandre-yedlin,Right Back,RB,defenders,172 cm,2,32,USA,Right,$630.7k,549861,€549.9k,2027-12-31,MLS,Western,Major League Soccer,2026,,,,6.84,9,672,4,0,,,,,,,,,,,,,,,,,4,0,,,6.84,9,8,,,,,,,,,,,,,,,,,,0.54,0.0,0.0,1.0,8.0,0,0.13,0.13,2,1,0.35,321,89.2,17,50.0,5,2,1,25.0,2,100.0,24,45.3,4,30.8,491,4,1,3,39,15,5,2,17,33,6,3,17,2,9,10.16,0,1,672,0.0,0.02,0.02,0.27,0.13,0.05,42.99,89.17,2.28,50.0,0.67,0.27,0.13,25.0,0.27,100.0,3.21,45.28,0.54,30.77,65.76,0.54,0.13,0.4,5.22,2.01,0.67,0.27,2.28,4.42,0.8,0.4,2.28,0.27,1.21,1.36,,,,,,,,,,,630690.57
1172163,Kobi Henry,Real Monarchs SLC,6606,https://www.fotmob.com/players/1172163/kobi-henry,Center Back,CB,defenders,188 cm,3,22,Trinidad and Tobago,Right,$451.2k,393382,€393.4k,,MLS,Western,MLS Next Pro,2026,,,,7.05,6,431,2,0,,,,,,,,,,,,,,,,,2,0,,,7.04,6,6,,,,,,,,,,,,,,,,,,0.42,0.0,2.0,0.0,6.0,2,,,3,0,,209,82.6,35,59.3,1,,,,3,75.0,19,52.8,4,50.0,341,7,2,,37,12,10,,7,29,,3,15,1,7,,2,0,431,0.42,,,0.63,0.0,,43.64,82.61,7.31,59.32,0.21,,,,0.63,75.0,3.97,52.78,0.84,50.0,71.21,1.46,0.42,,7.73,2.51,2.09,,1.46,6.06,,0.63,3.13,0.21,1.46,,3,1,0.63,0.21,,,,,,,451209.15
860543,Lukas Engel,Real Salt Lake,6606,https://www.fotmob.com/players/860543/lukas-engel,Center Back,CB,defenders,178 cm,4,27,Denmark,Left,$2.1m,1797198,€1.8m,2028-12-31,MLS,Western,Major League Soccer,2026,,,,6.98,8,662,0,0,,,,,,,,,,,,,,,,,0,0,,,6.98,8,8,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,0,0.38,0.38,6,0,0.24,333,82.8,48,52.7,1,,1,20.0,1,50.0,18,54.5,10,58.8,516,10,2,2,53,5,11,5,2,31,2,3,32,0,9,8.02,0,0,662,0.0,0.05,0.05,0.82,0.0,0.03,45.27,82.84,6.53,52.75,0.14,,0.14,20.0,0.14,50.0,2.45,54.55,1.36,58.82,70.15,1.36,0.27,0.27,7.21,0.68,1.5,0.68,0.27,4.21,0.27,0.41,4.35,0.0,1.22,1.09,,2,,0.27,,,,,,,2061386.11
1053963,Juan Sanabria,Real Salt Lake,6606,https://www.fotmob.com/players/1053963/juan-sanabria,Left Back,LB,defenders,172 cm,8,26,Uruguay,Left,$3.4m,2984556,€3m,2030-06-30,MLS,Western,Major League Soccer,2026,,,,7.43,11,907,2,0,,,,,,,,,,,,,,,,,2,0,,,7.43,11,10,,,,,,,,,,,,,,,,,,0.2,0.0,0.0,4.0,10.0,0,0.64,0.64,12,4,1.54,343,86.2,15,55.6,17,2,12,26.1,2,20.0,45,61.6,14,63.6,639,22,0,6,56,23,10,1,8,27,4,5,22,2,14,13.62,0,4,907,0.0,0.06,0.06,1.19,0.4,0.15,34.04,86.18,1.49,55.56,1.69,0.2,1.19,26.09,0.2,20.0,4.47,61.64,1.39,63.64,63.41,2.18,0.0,0.6,5.56,2.28,0.99,0.1,0.79,2.68,0.4,0.5,2.18,0.2,1.39,1.35,3,1,0.3,0.1,0.21,0.02,,,,,3423285.73
565981,Justen Glad,Real Salt Lake,6606,https://www.fotmob.com/players/565981/justen-glad,Center Back,CB,defenders,185 cm,15,29,USA,Right,$1.7m,1493170,€1.5m,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.92,12,1051,0,0,,,,,,,,,,,,,,,,,0,0,,,6.92,12,12,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,12.0,0,0.27,0.27,4,1,0.12,634,93.6,43,65.2,2,,,,,,34,50.0,18,47.4,820,7,1,5,93,11,13,7,8,41,2,4,62,0,16,15.58,0,1,1051,0.0,0.02,0.02,0.34,0.09,0.01,54.29,93.65,3.68,65.15,0.17,,,,,,2.91,50.0,1.54,47.37,70.22,0.6,0.09,0.43,7.96,0.94,1.11,0.6,0.69,3.51,0.17,0.34,5.31,0.0,1.37,1.33,1,3,0.09,0.26,0.20,0.02,1,0.09,,,1712665.99
1433033,Juan Jose Arias,Real Monarchs SLC,6606,https://www.fotmob.com/players/1433033/juan-jose-arias,Center Back,CB,defenders,187 cm,21,22,Colombia,,$1.7m,1500000,€1.5m,,MLS,Western,MLS Next Pro,2026,,,,6.1,2,142,1,0,,,,,,,,,,,,,,,,,1,0,,,6.10,2,2,,,,,,,,,,,,,,,,,,0.63,0.0,0.0,0.0,2.0,0,,,0,0,,91,88.3,4,50.0,1,,,,,,8,47.1,1,33.3,119,,0,2,8,5,2,,5,13,,1,1,0,5,,0,0,142,0.0,,,0.0,0.0,,57.68,88.35,2.54,50.0,0.63,,,,,,5.07,47.06,0.63,33.33,75.42,,0.0,1.27,5.07,3.17,1.27,,3.17,8.24,,0.63,0.63,0.0,3.17,,,,,,,,,,,,1720500.0
1338757,Philip Quinton,Real Salt Lake,6606,https://www.fotmob.com/players/1338757/philip-quinton,Center Back,CB,defenders,196 cm,26,26,USA,,$286.4k,249657,€249.7k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.9,11,765,1,0,,,,,,,,,,,,,,,,,1,0,,,6.90,11,8,,,,,,,,,,,,,,,,,,0.12,0.0,0.0,1.0,8.0,0,0.10,0.10,2,1,0.33,422,86.5,34,54.8,3,,,,1,33.3,24,53.3,11,45.8,616,8,1,3,65,9,3,6,4,43,,1,47,1,12,11.51,0,1,765,0.0,0.01,0.01,0.24,0.12,0.04,49.65,86.48,4.0,54.84,0.35,,,,0.12,33.33,2.82,53.33,1.29,45.83,72.47,0.94,0.12,0.35,7.65,1.06,0.35,0.71,0.47,5.06,,0.12,5.53,0.12,1.41,1.35,,2,,0.24,,,,,,,286356.58
1026060,Sam Junqua,Real Salt Lake,6606,https://www.fotmob.com/players/1026060/sam-junqua,Center Back,CB,defenders,183 cm,29,29,USA,Left,$386.8k,337217,€337.2k,2028-06-30,MLS,Western,Major League Soccer,2026,,,,6.5,12,641,2,0,,,,,,,,,,,,,,,,,2,0,,,6.50,12,6,,,,,,,,,,,,,,,,,,0.28,0.0,0.0,0.0,6.0,0,0.03,0.03,2,0,0.19,375,87.4,23,40.4,3,1,3,50.0,,,24,55.8,9,60.0,528,1,0,4,41,11,3,3,9,17,,4,24,2,10,12.23,0,0,641,0.0,0.0,0.0,0.28,0.0,0.03,52.65,87.41,3.23,40.35,0.42,0.14,0.42,50.0,,,3.37,55.81,1.26,60.0,74.13,0.14,0.0,0.56,5.76,1.54,0.42,0.42,1.26,2.39,,0.56,3.37,0.28,1.4,1.72,1,1,0.14,0.14,0.01,0.0,1,0.14,,,386787.9
