player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - Assists,Distribution - Chances created,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - Assists (per90),Distribution - Chances created (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Goalkeeping - Goals prevented,Distribution - xA,Goalkeeping - Goals prevented (per90),Distribution - xA (per90),All Competitions - Saved penalties,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Penalties conceded,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Penalties conceded (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Defending - Possession won final 3rd,Defending - Possession won final 3rd (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),market_value_usd_raw
1780504,Tobias Szewczyk,Red Bull New York  II,6514,https://www.fotmob.com/players/1780504/tobias-szewczyk,Keeper,GK,keepers,185 cm,72.0,17,USA,Right,$34.4k,30000,€30k,,MLS,Eastern,MLS Next Pro,2026,1.0,3.0,7.4,5,422,0,1,18,85.7,3,1,0,9,5,130,78.8,17,33.3,1,1,0,1,3,1,7.40,5,5,0/0,3.84,85.71,0.64,0.21,0.0,1.92,1.07,27.73,78.79,3.63,33.33,0.21,0.21,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34410.0
1251758,AJ Marcucci,Red Bull New York,6514,https://www.fotmob.com/players/1251758/aj-marcucci,Keeper,GK,keepers,191 cm,1.0,26,USA,Right,$135.3k,117925,€117.9k,2029-12-31,MLS,Eastern,Major League Soccer,2025,,2.0,6.56,2,180,0,0,3,60.0,2,0,0,1,1,36,61.0,6,20.7,,,0,0,2,0,6.56,2,2,0/0,1.5,60.0,1.0,0.0,0.0,0.5,0.5,18.0,61.02,3.0,20.69,,,0.0,0.0,-0.75,0.00,-0.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135259.98
1516024,Aidan Stokes,Red Bull New York  II,6514,https://www.fotmob.com/players/1516024/aidan-stokes,Keeper,GK,keepers,192 cm,21.0,18,USA,Right,$1.1m,949256,€949.3k,,MLS,Eastern,MLS Next Pro,2026,,12.0,6.82,7,630,0,0,24,66.7,12,0,0,9,1,262,86.8,14,28.0,,,0,0,12,0,6.82,7,7,0/1,3.43,66.67,1.71,0.0,0.0,1.29,0.14,37.43,86.75,2.0,28.0,,,0.0,0.0,,,,,0/1,0,1,0.0,0.0,0.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088796.63
471274,Ethan Horvath,Red Bull New York,6514,https://www.fotmob.com/players/471274/ethan-horvath,Keeper,GK,keepers,195 cm,34.0,31,USA,Right,$657.5k,573224,€573.2k,,MLS,Eastern,Major League Soccer,2026,1.0,32.0,6.71,15,1350,0,0,49,60.5,32,1,0,13,13,304,71.5,41,25.3,,,0,0,32,1,6.71,15,15,0/4,3.27,60.49,2.13,0.07,0.0,0.87,0.87,20.27,71.53,2.73,25.31,,,0.0,0.0,-1.85,0.02,-0.12,0.0,0/4,0,4,0.0,0.0,0.27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657487.93
621541,John McCarthy,Red Bull New York,6514,https://www.fotmob.com/players/621541/john-mccarthy,Keeper,GK,keepers,190 cm,77.0,33,USA,Right,$57.4k,50000,€50k,2026-12-31,MLS,Eastern,Major League Soccer,2025,,29.0,5.9,12,1080,0,0,1,20.0,4,0,0,1,2,33,71.7,5,29.4,,,0,0,4,0,5.81,2,2,0/0,0.5,20.0,2.0,0.0,0.0,0.5,1.0,16.5,71.74,2.5,29.41,,,0.0,0.0,,,,,1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57350.0
1390408,Davi Alexandre,Red Bull New York,6514,https://www.fotmob.com/players/1390408/davi-alexandre,defender,,defenders,182 cm,,19,USA,,$604.7k,527241,€527.2k,,MLS,Eastern,MLS Next Pro,2025,,,,1,6,0,0,,,,,,,,,,,,,,0,0,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,6,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604745.43
1245693,Justin Che,Red Bull New York,6514,https://www.fotmob.com/players/1245693/justin-che,Center Back,CB,defenders,185 cm,2.0,22,USA,Right,$929.4k,810289,€810.3k,,MLS,Eastern,Major League Soccer,2026,,,7.17,8,553,2,0,,,,,,,,,,,,,,2,0,,,7.17,8,6,,,,,,,,,,,,,,,0.33,0.0,,,,,,,,,,,,0.0,0.0,6.0,0,0,553,0,0.32,0.96,0.32,3,2,1,0,0.34,326,89.3,18,50.0,3,1,1,16.7,5,71.4,31,63.3,8,47.1,477,7,1,4,60,14,7,9,4,1,32,2,30,1,8,9.25,0.0,0.05,0.16,0.05,0.49,0.33,0.16,0.0,0.05,53.06,89.32,2.93,50.0,0.49,0.16,0.16,16.67,0.81,71.43,5.05,63.27,1.3,47.06,77.63,1.14,0.16,0.65,9.76,2.28,1.14,1.46,0.65,0.16,5.21,0.33,4.88,0.16,1.3,1.51,,,,,,,929401.48
1082103,Jahkeele Marshall-Rutty,Red Bull New York,6514,https://www.fotmob.com/players/1082103/jahkeele-marshall-rutty,Right Back,RB,defenders,170 cm,3.0,22,Canada,Right,$1.5m,1329411,€1.3m,,MLS,Eastern,Major League Soccer,2026,,,6.66,14,1111,2,0,,,,,,,,,,,,,,2,0,,,6.66,14,13,,,,,,,,,,,,,,,0.16,0.0,,,,,,,,,,,,0.0,0.0,13.0,0,0,1111,0,0.57,0.31,0.57,11,3,,0,0.53,598,88.7,22,46.8,7,,3,12.0,5,31.2,48,45.7,10,55.6,995,19,9,7,73,26,13,4,10,,55,19,30,1,27,25.46,0.0,0.05,0.03,0.05,0.89,0.24,,0.0,0.04,48.44,88.72,1.78,46.81,0.57,,0.24,12.0,0.41,31.25,3.89,45.71,0.81,55.56,80.6,1.54,0.73,0.57,5.91,2.11,1.05,0.32,0.81,,4.46,1.54,2.43,0.08,2.19,2.06,5,0.41,,,,,1524834.42
1410553,Omar Valencia,Red Bull New York  II,6514,https://www.fotmob.com/players/1410553/omar-valencia,Left Back,LB,defenders,180 cm,5.0,22,Panama,Left,$404.8k,352915,€352.9k,,MLS,Eastern,MLS Next Pro,2026,,,7.21,3,227,1,0,,,,,,,,,,,,,,3,0,,,6.29,9,1,,,,,,,,,,,,,,,0.97,0.0,,,,,,,,,,,,0.0,0.0,3.0,0,0,279,0,0.04,0.16,0.04,2,2,,0,0.07,89,71.2,6,35.3,2,,1,11.1,3,42.9,21,48.8,3,50.0,220,1,3,5,26,10,1,2,9,1,19,4,13,0,10,9.74,0.0,0.01,0.05,0.01,0.65,0.65,,0.0,0.02,28.71,71.2,1.94,35.29,0.65,,0.32,11.11,0.97,42.86,6.77,48.84,0.97,50.0,70.97,0.32,0.97,1.61,8.39,3.23,0.32,0.65,2.9,0.32,6.13,1.29,4.19,0.0,3.23,3.14,2,0.65,,,,,404793.5
1138136,Robert Voloder,Red Bull New York,6514,https://www.fotmob.com/players/1138136/robert-voloder,Center Back,CB,defenders,185 cm,6.0,25,Germany,Left,$374.7k,326641,€326.6k,,MLS,Eastern,Major League Soccer,2026,,,6.81,8,710,2,0,,,,,,,,,,,,,,2,0,,,6.81,8,8,,,,,,,,,,,,,,,0.25,0.0,,,,,,,,,,,,0.0,0.0,8.0,0,0,710,0,0.29,,0.29,3,1,1,0,0.17,502,87.2,17,37.0,1,,1,100.0,5,71.4,38,57.6,10,40.0,709,4,1,10,71,13,13,1,4,,39,6,44,0,22,18.26,0.0,0.04,,0.04,0.38,0.13,0.13,0.0,0.02,63.63,87.15,2.15,36.96,0.13,,0.13,100.0,0.63,71.43,4.82,57.58,1.27,40.0,89.87,0.51,0.13,1.27,9.0,1.65,1.65,0.13,0.51,,4.94,0.76,5.58,0.0,2.79,2.31,,,,,,,374657.23
