player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Saved penalties,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - High claims,Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - High claims (per90),All Competitions - Clean sheets,All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Penalties conceded,Defending - Recoveries,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Penalties conceded (per90),Defending - Recoveries (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xG,Shooting - xG excl. penalty,Shooting - Headed shots,Passing - Chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Touches in opposition box,Defending - Tackles,Defending - Interceptions,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Headed shots (per90),Passing - Chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Touches in opposition box (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Possession - Dribbles,Possession - Dribbles success rate,Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Shooting - xGOT,Shooting - Shots on target,Passing - Big chances created,Shooting - xGOT (per90),Shooting - Shots on target (per90),Passing - Big chances created (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),market_value_usd_raw
1054027,Carlos Dos Santos,San Diego FC,1701119,https://www.fotmob.com/players/1054027/carlos-dos-santos,Keeper,GK,keepers,194 cm,1,25,Cape Verde,Right,$934.9k,815118,€815.1k,2027-12-31,MLS,Western,Major League Soccer,2026,5.0,6.08,2,179,0,0,9,64.3,5,0.40,0,1,1,44,81.5,1,10.0,0.00,0,0,5,0,6.08,2,2,0/0,4.53,64.29,2.51,0.2,0.0,0.5,0.5,22.12,81.48,0.5,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934940.35
678241,Pablo Sisniega,San Diego FC,1701119,https://www.fotmob.com/players/678241/pablo-sisniega,Keeper,GK,keepers,,13,30,Mexico,Right,$108.2k,94300,€94.3k,2027-12-31,MLS,Western,Major League Soccer,2026,3.0,6.15,1,90,0,0,5,62.5,3,0.07,0,0,,52,89.7,5,55.6,0.00,0,0,3,0,6.15,1,1,0/1,5.0,62.5,3.0,0.07,0.0,0.0,,52.0,89.66,5.0,55.56,0.0,0.0,0.0,0/1,0,1,0.0,1,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108162.1
1341120,Duran Ferree,San Diego FC,1701119,https://www.fotmob.com/players/1341120/duran-ferree,Keeper,GK,keepers,,18,19,USA,Right,$862.1k,751633,€751.6k,,MLS,Western,Major League Soccer,2026,19.0,6.97,13,1081,0,0,41,68.3,19,2.59,4,2,15,442,90.6,30,41.7,0.01,0,0,19,4,6.97,13,12,0/1,3.41,68.33,1.58,0.22,0.33,0.17,1.25,36.8,90.57,2.5,41.67,0.0,0.0,0.0,0/1,0,1,0.0,5,0.0,0.08,0.0,0.42,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862123.05
1305746,William Kumado,San Diego FC,1701119,https://www.fotmob.com/players/1305746/william-kumado,defender,,defenders,167 cm,2,23,Ghana,Right,$818.8k,713892,€713.9k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.26,2,22,0,0,,,,,,,,,,,,,0,0,,,6.26,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,22,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818834.12
1053717,Andrés Reyes,San Diego FC,1701119,https://www.fotmob.com/players/1053717/andr-s-reyes,defender,,defenders,186 cm,4,26,Colombia,Right,$662.2k,577346,€577.3k,2026-12-31,MLS,Western,Major League Soccer,2025,,4.58,1,43,1,1,,,,,,,,,,,,,0,1,,,4.58,1,1,,,,,,,,,,,,,,0.0,2.09,,,,,,,,,,,0.0,0.0,1.0,0,0,43,0,0,0,0.00,45,97.8,1,50.0,2,40.0,1,100.0,51,0,1,2,1,3,1,1,0,1,0.89,0.0,0.0,0.0,0.0,94.19,97.83,2.09,50.0,4.19,40.0,2.09,100.0,106.74,0.0,2.09,4.19,2.09,6.28,2.09,2.09,0.0,2.09,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662215.86
1613512,Kieran Sargeant,San Diego FC,1701119,https://www.fotmob.com/players/1613512/kieran-sargeant,Left Back,LB,defenders,,5,23,USA,,$465.7k,406024,€406k,,MLS,Western,Major League Soccer,2026,,6.93,8,438,0,0,,,,,,,,,,,,,0,0,,,6.93,8,6,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,1.0,6.0,0,1,438,0,2,1,0.38,220,84.6,12,46.2,9,42.9,1,25.0,348,2,2,20,,2,,23,3,4,5.00,0.0,0.41,0.21,0.08,45.21,84.62,2.47,46.15,1.85,42.86,0.21,25.0,71.51,0.41,0.41,4.11,,0.41,,4.73,0.62,0.82,1.03,0.05,0.05,1,4,1,12.5,3,6,5,1,4,9,0.01,0.01,0.21,0.82,0.21,12.5,0.62,1.23,1.03,0.21,0.82,1.85,,,,,,,,,,,,,,,465709.53
1513664,Osvald Gabriel Søe,San Diego FC,1701119,https://www.fotmob.com/players/1513664/osvald-gabriel-s-e,Center Back,CB,defenders,186 cm,17,20,Denmark,,$493.2k,430000,€430k,,MLS,Western,Major League Soccer,2026,,5.85,6,419,1,0,,,,,,,,,,,,,1,0,,,5.85,6,5,,,,,,,,,,,,,,0.21,0.0,,,,,,,,,,,0.0,0.0,5.0,0,0,419,0,1,0,0.05,364,92.6,12,57.1,7,25.9,4,33.3,444,1,,29,5,8,,15,0,12,12.21,0.0,0.21,0.0,0.01,78.19,92.62,2.58,57.14,1.5,25.93,0.86,33.33,95.37,0.21,,6.23,1.07,1.72,,3.22,0.0,2.58,2.62,0.03,0.03,1,,,,3,3,6,,2,15,0.01,0.01,0.21,,,,0.64,0.64,1.29,,0.43,3.22,,,,,,,,,,,,,,,493210.0
1715116,Wilson Eisner,San Diego FC,1701119,https://www.fotmob.com/players/1715116/wilson-eisner,Center Back,CB,defenders,183 cm,22,24,USA,,$137.6k,120000,€120k,,MLS,Western,Major League Soccer,2026,,6.15,4,109,0,0,,,,,,,,,,,,,0,0,,,6.15,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,109,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137640.0
1721726,Ian Pilcher,San Diego FC,1701119,https://www.fotmob.com/players/1721726/ian-pilcher,Center Back,CB,defenders,,25,23,USA,,$429.0k,373979,€374k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.25,8,166,2,0,,,,,,,,,,,,,2,0,,,6.25,8,2,,,,,,,,,,,,,,1.08,0.0,,,,,,,,,,,0.0,0.0,2.0,0,0,166,0,0,0,0.04,101,91.0,4,57.1,7,43.8,,,143,0,2,10,,3,,9,0,5,6.06,0.0,0.0,0.0,0.02,54.76,90.99,2.17,57.14,3.8,43.75,,,77.53,0.0,1.08,5.42,,1.63,,4.88,0.0,2.71,3.29,,,,,,,,5,,1,,5,,,,,,,,2.71,,0.54,,2.71,,,,,,,,,,,,,,,428953.91
1729741,Manu Duah,San Diego FC,1701119,https://www.fotmob.com/players/1729741/manu-duah,Center Back,CB,defenders,,26,21,Ghana,,$2.4m,2105283,€2.1m,2027-12-31,MLS,Western,Major League Soccer,2026,,6.86,14,1201,1,1,,,,,,,,,,,,,1,1,,,6.86,14,14,,,,,,,,,,,,,,0.07,0.07,,,,,,,,,,,0.0,0.0,14.0,0,0,1201,0,3,0,0.41,1196,94.2,53,62.4,45,60.8,13,48.1,1464,2,10,96,15,7,1,78,3,23,25.24,0.0,0.22,0.0,0.03,89.63,94.25,3.97,62.35,3.37,60.81,0.97,48.15,109.71,0.15,0.75,7.19,1.12,0.52,0.07,5.85,0.22,1.72,1.89,0.15,0.15,2,2,2,50.0,5,17,14,,3,50,0.01,0.01,0.15,0.15,0.15,50.0,0.37,1.27,1.05,,0.22,3.75,6,66.7,0.45,66.67,,,,,,,,,,,2414759.6
