player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Passing - xA,Defending - Penalties conceded,Defending - xG against while on pitch,Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Passing - xA (per90),Defending - Penalties conceded (per90),Defending - xG against while on pitch (per90),Defending - Possession won final 3rd,Defending - Possession won final 3rd (per90),market_value_usd_raw
1083233,John Pulskamp,Sporting Kansas City,6604,https://www.fotmob.com/players/1083233/john-pulskamp,Keeper,GK,keepers,193 cm,1.0,25,USA,,$405.0k,353108.0,€353.1k,2026-12-31,MLS,Western,Major League Soccer,2026,25.0,2/2,6.06,9,810,0,0,27,51.9,25,-2.18,0,2,0,100.0,1,3,9,184,66.4,49,36.0,0.01,0,0,25,0,6.06,9,9,2/2,3.0,51.92,2.78,-0.24,0.0,0.22,0.0,100.0,0.11,0.33,1.0,20.44,66.43,5.44,36.03,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405014.88
1710544,Jack Kortkamp,Sporting Kansas City II,6604,https://www.fotmob.com/players/1710544/jack-kortkamp,Keeper,GK,keepers,190 cm,12.0,18,USA,Right,$40.1k,35000.0,€35k,,MLS,Western,MLS Next Pro,2026,15.0,1/1,6.33,6,540,0,0,26,63.4,15,,0,1,0,100.0,1,1,2,89,70.1,22,37.3,,0,0,15,0,6.33,6,6,1/1,4.33,63.41,2.5,,0.0,0.17,0.0,100.0,0.17,0.17,0.33,14.83,70.08,3.67,37.29,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40145.0
846521,Stefan Cleveland,Sporting Kansas City,6604,https://www.fotmob.com/players/846521/stefan-cleveland,Keeper,GK,keepers,188 cm,30.0,32,USA,Right,$57.4k,50000.0,€50k,2026-12-31,MLS,Western,Major League Soccer,2026,11.0,,6.58,5,450,0,0,19,63.3,11,-0.74,0,,,,0,1,1,104,67.5,21,32.3,0.00,0,0,11,0,6.58,5,5,0/0,3.8,63.33,2.2,-0.15,0.0,,,,0.0,0.2,0.2,20.8,67.53,4.2,32.31,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57350.0
1642172,Ryan Schewe,Sporting Kansas City,6604,https://www.fotmob.com/players/1642172/ryan-schewe,keeper,,keepers,193 cm,36.0,24,USA,,$80.3k,70000.0,€70k,,MLS,Western,MLS Next Pro,2025,7.0,,4.88,2,180,0,0,5,41.7,7,,0,,,,1,,1,35,76.1,6,37.5,,0,0,7,0,4.88,2,2,0/0,2.5,41.67,3.5,,0.0,,,,0.5,,0.5,17.5,76.09,3.0,37.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80290.0
1091999,Or Blorian,Sporting Kansas City,6604,https://www.fotmob.com/players/1091999/or-blorian,Center Back,CB,defenders,188 cm,,26,Israel,,$882.0k,768952.0,€769k,,MLS,Western,Ligat ha'Al,2025/2026,,,7.46,35,2941,7,1,,,,,,,,,,,,,,,,,7,1,,,7.45,35,33,,,,,,,,,,,,,,,,,,0.21,0.03,2.0,3.0,33.0,2,14,5,8,3,2075,88.5,111,50.7,15,2,2,33.3,5,62.5,182,67.2,103,73.0,2769,30,6,21,253,56,44,21,33,130,14,132,10,32,2,3,2941,0.06,0.43,0.15,0.24,0.09,63.5,88.52,3.4,50.68,0.46,0.06,0.06,33.33,0.15,62.5,5.57,67.16,3.15,73.05,84.74,0.92,0.18,0.64,7.74,1.71,1.35,0.64,1.01,3.98,0.43,4.04,0.31,0.98,,,,,,,,,,,,,,,881987.94
1710543,Ian James,Sporting Kansas City,6604,https://www.fotmob.com/players/1710543/ian-james,Center Back,CB,defenders,188 cm,2.0,18,USA,,$1.1m,997592.0,€997.6k,2027-12-31,MLS,Western,Major League Soccer,2026,,,6.23,10,754,0,0,,,,,,,,,,,,,,,,,0,0,,,6.23,10,8,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,0,3,1,2,0,303,86.1,14,48.3,4,,,,2,50.0,23,52.3,4,33.3,454,6,1,1,59,16,9,8,7,19,4,26,0,19,0,0,754,0.0,0.36,0.12,0.24,0.0,36.17,86.08,1.67,48.28,0.48,,,,0.24,50.0,2.75,52.27,0.48,33.33,54.19,0.72,0.12,0.12,7.04,1.91,1.07,0.95,0.84,2.27,0.48,3.1,0.0,2.27,0.14,0.02,0.14,0.14,2,16.01,0.02,0.0,0.02,0.02,0.24,1.91,,,1144238.02
1351033,Justin Reynolds,Sporting Kansas City,6604,https://www.fotmob.com/players/1351033/justin-reynolds,Right Back,RB,defenders,175 cm,13.0,21,USA,Right,$502.2k,437863.0,€437.9k,2026-12-31,MLS,Western,Major League Soccer,2026,,,6.74,8,316,0,0,,,,,,,,,,,,,,,,,0,0,,,6.74,8,4,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,0,2,1,,1,135,82.8,4,33.3,6,,3,37.5,4,50.0,24,64.9,4,40.0,254,5,1,4,30,12,9,3,1,24,1,6,0,9,0,1,316,0.0,0.57,0.28,,0.28,38.45,82.82,1.14,33.33,1.71,,0.85,37.5,1.14,50.0,6.84,64.86,1.14,40.0,72.34,1.42,0.28,1.14,8.54,3.42,2.56,0.85,0.28,6.84,0.28,1.71,0.0,2.56,0.27,0.07,0.27,0.37,,8.24,0.08,0.02,0.08,0.11,,2.35,2,0.57,502228.86
1083287,Jansen Miller,Sporting Kansas City,6604,https://www.fotmob.com/players/1083287/jansen-miller,Center Back,CB,defenders,,15.0,24,USA,,$383.3k,334190.0,€334.2k,2026-12-31,MLS,Western,Major League Soccer,2026,,,6.06,8,405,2,0,,,,,,,,,,,,,,,,,2,0,,,6.06,8,4,,,,,,,,,,,,,,,,,,0.44,0.0,0.0,0.0,4.0,0,1,1,,0,157,80.5,10,33.3,,,,,1,100.0,24,53.3,12,75.0,282,5,1,8,53,5,6,6,12,21,4,36,0,13,0,0,405,0.0,0.22,0.22,,0.0,34.89,80.51,2.22,33.33,,,,,0.22,100.0,5.33,53.33,2.67,75.0,62.67,1.11,0.22,1.78,11.78,1.11,1.33,1.33,2.67,4.67,0.89,8.0,0.0,2.89,0.08,,0.08,0.03,,13.01,0.02,,0.02,0.01,,2.89,1,0.22,383315.93
1246605,Ethan Bartlow,Sporting Kansas City,6604,https://www.fotmob.com/players/1246605/ethan-bartlow,Center Back,CB,defenders,183 cm,23.0,26,USA,,$177.6k,154827.0,€154.8k,2026-12-31,MLS,Western,Major League Soccer,2026,,,5.94,10,773,1,0,,,,,,,,,,,,,,,,,1,0,,,5.94,10,9,,,,,,,,,,,,,,,,,,0.12,0.0,0.0,0.0,9.0,0,3,1,2,0,371,83.7,27,38.6,3,,,,1,33.3,23,48.9,14,53.8,558,10,0,5,72,3,5,14,7,28,4,50,0,24,0,0,773,0.0,0.35,0.12,0.23,0.0,43.2,83.75,3.14,38.57,0.35,,,,0.12,33.33,2.68,48.94,1.63,53.85,64.97,1.16,0.0,0.58,8.38,0.35,0.58,1.63,0.82,3.26,0.47,5.82,0.0,2.79,0.16,0.52,0.16,0.26,,22.47,0.02,0.06,0.02,0.03,,2.62,,,177586.57
1600922,Wyatt Meyer,Sporting Kansas City,6604,https://www.fotmob.com/players/1600922/wyatt-meyer,Center Back,CB,defenders,188 cm,28.0,24,USA,,$188.7k,164549.0,€164.5k,,MLS,Western,Major League Soccer,2026,,,6.45,11,877,1,0,,,,,,,,,,,,,,,,,1,0,,,6.45,11,10,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.0,10.0,0,1,,,0,415,89.6,20,47.6,,,,,3,60.0,46,59.0,18,45.0,601,9,3,4,90,21,14,5,1,38,4,50,0,22,0,0,877,0.0,0.1,,,0.0,42.59,89.63,2.05,47.62,,,,,0.31,60.0,4.72,58.97,1.85,45.0,61.68,0.92,0.31,0.41,9.24,2.16,1.44,0.51,0.1,3.9,0.41,5.13,0.0,2.26,0.09,,0.09,0.12,,19.18,0.01,,0.01,0.01,,1.97,1,0.1,188737.7
