player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),market_value_usd_raw
112978,Roman Bürki,St. Louis City,1427963,https://www.fotmob.com/players/112978/roman-b-rki,Keeper,GK,keepers,188 cm,1,35,Switzerland,Right,$753.8k,657184,€657.2k,2027-12-31,MLS,Western,Major League Soccer,2026,1.0,20.0,0/2,6.74,13,1170,1,0,40,66.7,20,-1.72,1,0,2,0.0,0,10,3,283,77.5,62,43.7,0.02,1,0,20,1,6.74,13,13,0/2,3.08,66.67,1.54,-0.13,0.08,0.0,0.15,0.0,0.0,0.77,0.23,21.77,77.53,4.77,43.66,0.0,0.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753790.05
1781731,Colin Welsh,St. Louis City 2,1427963,https://www.fotmob.com/players/1781731/colin-welsh,Keeper,GK,keepers,188 cm,34,23,USA,,$22.9k,20000,€20k,,MLS,Western,MLS Next Pro,2026,2.0,7.0,,6.62,5,450,0,0,12,63.2,7,,2,,,,0,4,1,91,80.5,12,35.3,,0,0,7,2,6.62,5,5,0/0,2.4,63.16,1.4,,0.4,,,,0.0,0.8,0.2,18.2,80.53,2.4,35.29,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22940.0
365646,Benjamin Lundt,St. Louis City,1427963,https://www.fotmob.com/players/365646/benjamin-lundt,Keeper,GK,keepers,197 cm,39,30,Germany,Right,$108.2k,94300,€94.3k,2027-12-31,MLS,Western,Major League Soccer,2026,1.0,,,7.89,1,90,0,0,2,100.0,0,0.10,1,,,,0,1,2,20,80.0,1,25.0,0.00,0,0,0,1,7.89,1,1,0/0,2.0,100.0,0.0,0.1,1.0,,,,0.0,1.0,2.0,20.0,80.0,1.0,25.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108162.1
1263370,Mamadou Mbacke,St. Louis City,1427963,https://www.fotmob.com/players/1263370/mamadou-mbacke,Center Back,CB,defenders,189 cm,4,23,Senegal,,$384.0k,334751,€334.8k,2028-06-30,MLS,Western,Major League Soccer,2026,,,,6.25,3,34,1,0,,,,,,,,,,,,,,,,,1,0,,,6.25,3,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,34,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383959.4
1045804,Lukas MacNaughton,St. Louis City,1427963,https://www.fotmob.com/players/1045804/lukas-macnaughton,Center Back,CB,defenders,188 cm,5,31,Canada,Right,$523.4k,456316,€456.3k,,MLS,Western,Major League Soccer,2026,,,,6.74,11,467,0,0,,,,,,,,,,,,,,,,,0,0,,,6.74,11,4,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,4.0,0,1,467,0,0.36,0.52,0.36,4,1,4,1,0.25,259,86.3,9,37.5,3,1,1,33.3,1,100.0,26,53.1,16,66.7,385,9,0,1,56,8,10,3,10,21,1,5,35,0,8,8.43,0.0,0.07,0.1,0.07,0.77,0.19,0.77,0.19,0.05,49.91,86.33,1.73,37.5,0.58,0.19,0.19,33.33,0.19,100.0,5.01,53.06,3.08,66.67,74.2,1.73,0.0,0.19,10.79,1.54,1.93,0.58,1.93,4.05,0.19,0.96,6.75,0.0,1.54,1.62,,,523394.45
729984,Joshua Yaro,St. Louis City,1427963,https://www.fotmob.com/players/729984/joshua-yaro,Center Back,CB,defenders,171 cm,15,31,Ghana,,$120.6k,105174,€105.2k,,MLS,Western,Major League Soccer,2025,,,,6.35,18,1265,1,0,,,,,,,,,,,,,,,,,0,0,,,5.68,2,2,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,14.0,0,0,180,0,,,,1,,1,0,,91,88.3,2,22.2,,,,,,,4,57.1,2,100.0,126,1,0,,9,2,,1,3,6,,,6,0,6,,0.0,,,,0.5,,0.5,0.0,,45.5,88.35,1.0,22.22,,,,,,,2.0,57.14,1.0,100.0,63.0,0.5,0.0,,4.5,1.0,,0.5,1.5,3.0,,,3.0,0.0,3.0,,,,120634.58
1327826,Dante Polvara,St. Louis City,1427963,https://www.fotmob.com/players/1327826/dante-polvara,Center Back,CB,defenders,193 cm,21,25,USA,Right,$387.1k,337506,€337.5k,2028-06-30,MLS,Western,Major League Soccer,2026,,,,6.94,14,1186,3,0,,,,,,,,,,,,,,,,,3,0,,,6.94,14,14,,,,,,,,,,,,,,,,,,0.23,0.0,0.0,0.0,14.0,0,0,1186,0,0.67,,0.67,8,,3,0,0.70,666,87.5,27,40.9,4,1,,,,,53,60.9,20,66.7,949,17,2,14,109,19,31,8,14,62,2,6,51,1,20,16.96,0.0,0.05,,0.05,0.61,,0.23,0.0,0.05,50.54,87.52,2.05,40.91,0.3,0.08,,,,,4.02,60.92,1.52,66.67,72.02,1.29,0.15,1.06,8.27,1.44,2.35,0.61,1.06,4.7,0.15,0.46,3.87,0.08,1.52,1.29,,,387119.38
1346870,Kyle Hiebert,St. Louis City,1427963,https://www.fotmob.com/players/1346870/kyle-hiebert,Center Back,CB,defenders,183 cm,22,28,Canada,,$880.5k,767669,€767.7k,2026-12-31,MLS,Western,Major League Soccer,2025,,,,6.61,22,1694,3,0,,,,,,,,,,,,,,,,,1,0,,,6.82,5,5,,,,,,,,,,,,,,,,,,0.2,0.0,1.0,1.0,19.0,1,0,450,1,,,,7,2,3,0,,330,90.2,8,38.1,1,,,,,,20,60.6,12,66.7,453,14,1,1,40,7,9,4,5,17,,1,20,2,7,,0.2,,,,1.4,0.4,0.6,0.0,,66.0,90.16,1.6,38.1,0.2,,,,,,4.0,60.61,2.4,66.67,90.6,2.8,0.2,0.2,8.0,1.4,1.8,0.8,1.0,3.4,,0.2,4.0,0.4,1.4,,,,880516.34
1473603,Fallou Fall,St. Louis City,1427963,https://www.fotmob.com/players/1473603/fallou-fall,Center Back,CB,defenders,192 cm,27,22,Senegal,,$4.0m,3499354,€3.5m,2028-12-31,MLS,Western,Major League Soccer,2026,,,,7.25,5,222,1,0,,,,,,,,,,,,,,,,,1,0,,,7.25,5,2,,,,,,,,,,,,,,,,,,0.41,0.0,1.0,0.0,2.0,1,0,222,1,0.39,0.74,0.39,3,1,1,0,0.05,101,85.6,5,45.5,2,,1,100.0,,,21,63.6,9,50.0,173,7,1,3,33,9,1,2,1,11,,1,21,1,3,3.13,0.41,0.16,0.3,0.16,1.22,0.41,0.41,0.0,0.02,40.95,85.59,2.03,45.45,0.81,,0.41,100.0,,,8.51,63.64,3.65,50.0,70.14,2.84,0.41,1.22,13.38,3.65,0.41,0.81,0.41,4.46,,0.41,8.51,0.41,1.22,1.27,,,4013759.04
514301,Timo Baumgartl,St. Louis City,1427963,https://www.fotmob.com/players/514301/timo-baumgartl,Center Back,CB,defenders,190 cm,32,30,Germany,Right,$197.5k,172172,€172.2k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.76,14,1260,2,0,,,,,,,,,,,,,,,,,2,0,,,6.76,14,14,,,,,,,,,,,,,,,,,,0.14,0.0,1.0,0.0,14.0,1,0,1260,1,0.70,0.98,0.70,2,1,1,0,0.21,835,92.8,32,50.0,,,,,,,39,61.9,16,64.0,1045,4,2,6,108,17,19,8,9,47,1,5,64,2,20,17.30,0.07,0.05,0.07,0.05,0.14,0.07,0.07,0.0,0.02,59.64,92.78,2.29,50.0,,,,,,,2.79,61.9,1.14,64.0,74.64,0.29,0.14,0.43,7.71,1.21,1.36,0.57,0.64,3.36,0.07,0.36,4.57,0.14,1.43,1.24,,,197481.28
