player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Possession - Dribbles,Possession - Dribbles success rate,Defending - Dribbled past,Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Defending - Dribbled past (per90),Passing - Successful crosses,Passing - Cross accuracy,Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Passing - Big chances created,Defending - Possession won final 3rd,Passing - Big chances created (per90),Defending - Possession won final 3rd (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),market_value_usd_raw
1338704,Luka Gavran,Toronto FC,56453,https://www.fotmob.com/players/1338704/luka-gavran,Keeper,GK,keepers,198 cm,1,26,Canada,Right,$278.0k,242345,€242.3k,2027-12-31,MLS,Eastern,Major League Soccer,2026,1.0,29.0,0/2,6.43,14,1260,0,0,35,54.7,29,-3.97,1,0,2,0.0,1,9,11,238,62.3,71,34.1,0.02,0,0,29,1,6.43,14,14,0/2,2.5,54.69,2.07,-0.28,0.07,0.0,0.14,0.0,0.07,0.64,0.79,17.0,62.3,5.07,34.13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277969.72
825691,Henry Wingo,Toronto FC,56453,https://www.fotmob.com/players/825691/henry-wingo,defender,,defenders,183 cm,2,30,USA,Right,$76.4k,66652,€66.7k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.14,1,12,0,0,,,,,,,,,,,,,,,,,0,0,,,6.14,1,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,12,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76449.84
1130753,Zane Monlouis,Toronto FC,56453,https://www.fotmob.com/players/1130753/zane-monlouis,Center Back,CB,defenders,185 cm,12,22,Jamaica,Right,$456.3k,397826,€397.8k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.44,12,791,1,0,,,,,,,,,,,,,,,,,1,0,,,6.44,12,8,,,,,,,,,,,,,,,,,,0.11,0.0,0.0,0.0,8.0,0,0,791,0,0.17,0.30,0.17,6,3,5,0,0.10,382,86.4,20,37.0,1,30,58.8,14,50.0,555,10,3,3,63,13,8,2,4,23,40,1,14,8.90,0.0,0.02,0.03,0.02,0.68,0.34,0.57,0.0,0.01,43.46,86.43,2.28,37.04,0.11,3.41,58.82,1.59,50.0,63.15,1.14,0.34,0.34,7.17,1.48,0.91,0.23,0.46,2.62,4.55,0.11,1.59,1.01,,,,,,,,,,,,,,,,,456306.42
574923,Benjamín Kuscevic,Toronto FC,56453,https://www.fotmob.com/players/574923/benjam-n-kuscevic,Center Back,CB,defenders,186 cm,13,30,Chile,Right,$1.4m,1252144,€1.3m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.09,6,470,2,0,,,,,,,,,,,,,,,,,2,0,,,7.09,6,6,,,,,,,,,,,,,,,,,,0.38,0.0,0.0,0.0,6.0,0,0,470,0,0.22,0.18,0.22,5,1,4,0,0.04,183,85.9,11,40.7,,23,59.0,13,72.2,288,5,1,3,47,5,5,2,7,22,35,1,5,4.97,0.0,0.04,0.04,0.04,0.96,0.19,0.77,0.0,0.01,35.04,85.92,2.11,40.74,,4.4,58.97,2.49,72.22,55.15,0.96,0.19,0.57,9.0,0.96,0.96,0.38,1.34,4.21,6.7,0.19,0.96,0.95,2,100.0,3,0.38,100.0,0.57,,,,,,,,,,,1436209.17
1346549,Nicksoen Gomis,Toronto FC,56453,https://www.fotmob.com/players/1346549/nicksoen-gomis,defender,,defenders,185 cm,15,24,France,Left,$309.7k,269966,€270k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.26,2,77,0,0,,,,,,,,,,,,,,,,,0,0,,,6.26,2,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0,0,77,0,0.04,,0.04,1,,1,0,0.02,56,94.9,4,66.7,,5,62.5,1,100.0,73,1,2,,7,4,1,,,1,2,0,2,2.31,0.0,0.05,,0.05,1.17,,1.17,0.0,0.02,65.45,94.92,4.68,66.67,,5.84,62.5,1.17,100.0,85.32,1.17,2.34,,8.18,4.68,1.17,,,1.17,2.34,0.0,2.34,2.7,,,1,,,1.17,,,,,,,,,,,309651.0
1106934,Kobe Franklin,Toronto FC,56453,https://www.fotmob.com/players/1106934/kobe-franklin,Right Back,RB,defenders,168 cm,19,23,Canada,,$181.7k,158439,€158.4k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.43,11,768,0,0,,,,,,,,,,,,,,,,,0,0,,,6.43,11,9,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,2.0,9.0,2,2,768,2,0.42,0.81,0.42,7,4,,2,0.48,284,86.3,14,42.4,4,26,40.6,2,11.8,530,8,6,8,50,13,12,9,11,31,16,0,26,14.40,0.23,0.05,0.09,0.05,0.82,0.47,,0.23,0.06,33.28,86.32,1.64,42.42,0.47,3.05,40.62,0.23,11.76,62.11,0.94,0.7,0.94,5.86,1.52,1.41,1.05,1.29,3.63,1.88,0.0,3.05,1.69,3,50.0,3,0.35,50.0,0.35,6,42.9,0.7,42.86,,,,,,,181729.53
729506,Richie Laryea,Toronto FC,56453,https://www.fotmob.com/players/729506/richie-laryea,Left Back,LB,defenders,175 cm,22,31,Canada,Right,$551.7k,480995,€481k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.09,9,810,2,0,,,,,,,,,,,,,,,,,2,0,,,7.09,9,9,,,,,,,,,,,,,,,,,,0.22,0.0,2.0,1.0,9.0,2,1,810,2,0.39,1.51,0.39,3,3,,1,0.30,279,82.1,15,46.9,4,71,61.7,3,33.3,571,25,6,42,40,17,4,1,17,46,18,1,17,11.61,0.22,0.04,0.17,0.04,0.33,0.33,,0.11,0.03,31.0,82.06,1.67,46.88,0.44,7.89,61.74,0.33,33.33,63.44,2.78,0.67,4.67,4.44,1.89,0.44,0.11,1.89,5.11,2.0,0.11,1.89,1.29,9,56.2,9,1.0,56.25,1.0,1,10.0,0.11,10.0,2,2,0.22,0.22,,,551701.26
431956,Walker Zimmerman,Toronto FC,56453,https://www.fotmob.com/players/431956/walker-zimmerman,Center Back,CB,defenders,191 cm,25,33,USA,Right,$1.1m,971598,€971.6k,,MLS,Eastern,Major League Soccer,2026,,,,6.54,11,825,3,0,,,,,,,,,,,,,,,,,3,0,,,6.54,11,10,,,,,,,,,,,,,,,,,,0.33,0.0,1.0,0.0,10.0,1,0,825,1,0.72,0.39,0.72,10,2,9,0,0.20,363,83.3,30,46.9,1,50,65.8,30,78.9,571,20,0,5,95,15,17,8,12,27,55,0,21,14.36,0.11,0.08,0.04,0.08,1.09,0.22,0.98,0.0,0.02,39.6,83.26,3.27,46.88,0.11,5.45,65.79,3.27,78.95,62.29,2.18,0.0,0.55,10.36,1.64,1.85,0.87,1.31,2.95,6.0,0.0,2.29,1.57,1,100.0,6,0.11,100.0,0.65,,,,,,1,,0.11,1,0.11,1114422.91
664764,Raheem Edwards,Toronto FC,56453,https://www.fotmob.com/players/664764/raheem-edwards,Left Back,LB,defenders,173 cm,44,30,Canada,Left,$362.1k,315678,€315.7k,,MLS,Eastern,Major League Soccer,2026,,,,6.95,12,741,3,1,,,,,,,,,,,,,,,,,3,1,,,6.95,12,9,,,,,,,,,,,,,,,,,,0.36,0.12,0.0,0.0,9.0,0,0,741,0,0.09,0.20,0.09,3,1,,0,0.68,249,75.2,7,25.9,4,71,59.7,10,66.7,569,17,9,11,68,40,17,,16,50,11,0,10,8.50,0.0,0.01,0.02,0.01,0.36,0.12,,0.0,0.08,30.24,75.23,0.85,25.93,0.49,8.62,59.66,1.21,66.67,69.11,2.06,1.09,1.34,8.26,4.86,2.06,,1.94,6.07,1.34,0.0,1.21,1.03,10,55.6,10,1.21,55.56,1.21,5,20.8,0.61,20.83,1,3,0.12,0.36,,,362082.67
1504606,Lazar Stefanovic,Toronto FC,56453,https://www.fotmob.com/players/1504606/lazar-stefanovic,Center Back,CB,defenders,187 cm,76,19,Canada,Both,$837.2k,729924,€729.9k,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.46,6,193,1,0,,,,,,,,,,,,,,,,,1,0,,,6.46,6,1,,,,,,,,,,,,,,,,,,0.47,0.0,0.0,0.0,1.0,0,0,193,0,0.20,,0.20,2,,1,0,0.09,117,86.7,3,30.0,1,13,54.2,7,46.7,171,4,0,,28,6,6,1,2,9,15,0,7,2.43,0.0,0.09,,0.09,0.93,,0.47,0.0,0.04,54.56,86.67,1.4,30.0,0.47,6.06,54.17,3.26,46.67,79.74,1.87,0.0,,13.06,2.8,2.8,0.47,0.93,4.2,6.99,0.0,3.26,1.14,,,1,,,0.47,,,,,,,,,,,837222.83
