player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - Assists,Distribution - Chances created,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - Assists (per90),Distribution - Chances created (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),market_value_usd_raw
648356,Yohei Takaoka,Vancouver Whitecaps,307691,https://www.fotmob.com/players/648356/yohei-takaoka,Keeper,GK,keepers,183 cm,1,30,Japan,Right,$2.3m,2001339,€2m,2027-06-30,MLS,Western,Major League Soccer,2026,5.0,9.0,0/1,7.16,13,1144,0,1,23,71.9,9,2.48,5,0,1,0.0,1,14,8,353,81.9,59,45.7,1,1,0.05,0,1,9,5,7.16,13,13,0/1,1.81,71.88,0.71,0.2,0.39,0.0,0.08,0.0,0.08,1.1,0.63,27.77,81.9,4.64,45.74,0.08,0.08,0.0,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295535.83
1036108,Mathías Laborda,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1036108/math-as-laborda,Center Back,CB,defenders,183 cm,2,26,Uruguay,Right,$2.4m,2052859,€2.1m,2026-12-31,MLS,Western,Major League Soccer,2026,,,,7.48,13,1101,1,0,,,,,,,,,,,,,,,,,,,1,0,,,7.48,13,12,,,,,,,,,,,,,,,,,,,,0.08,0.0,3.0,2.0,12.0,3,2.32,2.73,2.32,14,6,6,2,0.58,625,89.8,38,61.3,4,3,3,37.5,2,66.7,48,50.0,15,62.5,889,15,9,4,98,27,16,3,17,65,4,12,52,5,11,11.17,3,2,1101,0.25,0.19,0.22,0.19,1.14,0.49,0.49,0.16,0.05,51.09,89.8,3.11,61.29,0.33,0.25,0.25,37.5,0.16,66.67,3.92,50.0,1.23,62.5,72.67,1.23,0.74,0.33,8.01,2.21,1.31,0.25,1.39,5.31,0.33,0.98,4.25,0.41,0.9,0.91,,,,,,,2354629.27
498143,Sam Adekugbe,Vancouver Whitecaps,307691,https://www.fotmob.com/players/498143/sam-adekugbe,defender,,defenders,175 cm,3,31,Canada,Left,$329.5k,287304,€287.3k,2026-12-31,MLS,Western,Major League Soccer,2025,,,,6.99,7,292,0,0,,,,,,,,,,,,,,,,,,,0,0,,,6.49,1,1,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,4.0,0,,,,0,,,0,,33,94.3,4,100.0,1,,2,66.7,1,100.0,2,40.0,1,50.0,47,,1,,2,,1,1,1,1,,,,0,1,,0,0,45,0.0,,,,0.0,,,0.0,,66.0,94.29,8.0,100.0,2.0,,4.0,66.67,2.0,100.0,4.0,40.0,2.0,50.0,94.0,,2.0,,4.0,,2.0,2.0,2.0,2.0,,,,0.0,2.0,,,,,,,,329537.69
940774,Ranko Veselinovic,Vancouver Whitecaps,307691,https://www.fotmob.com/players/940774/ranko-veselinovic,Center Back,CB,defenders,188 cm,4,27,Serbia,Right,$1.6m,1437802,€1.4m,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.24,2,19,0,0,,,,,,,,,,,,,,,,,,,0,0,,,6.24,2,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649158.89
1082109,Ralph Priso,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1082109/ralph-priso,Center Back,CB,defenders,175 cm,6,23,Canada,Left,$731.5k,637757,€637.8k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,7.24,6,467,0,0,,,,,,,,,,,,,,,,,,,0,0,,,7.24,6,5,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,5.0,1,0.93,0.96,0.93,1,1,,0,1.27,389,93.3,27,71.1,4,3,,,2,50.0,10,41.7,1,33.3,477,9,2,3,27,4,6,4,7,26,,1,13,3,3,3.62,1,0,467,0.19,0.18,0.18,0.18,0.19,0.19,,0.0,0.25,74.97,93.29,5.2,71.05,0.77,0.58,,,0.39,50.0,1.93,41.67,0.19,33.33,91.93,1.73,0.39,0.58,5.2,0.77,1.16,0.77,1.35,5.01,,0.19,2.51,0.58,0.58,0.7,,,,,,,731507.28
1300472,Belal Halbouni,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1300472/belal-halbouni,Center Back,CB,defenders,188 cm,12,26,Syria,Right,$252.8k,220428,€220.4k,2027-06-30,MLS,Western,Major League Soccer,2025,,,,6.94,16,929,4,0,,,,,,,,,,,,,,,,,,,4,0,,,6.94,16,9,,,,,,,,,,,,,,,,,,,,0.39,0.0,0.0,0.0,9.0,0,0.33,,0.33,4,,2,0,0.53,677,93.5,44,66.7,4,1,2,50.0,5,62.5,35,49.3,18,54.5,844,12,5,3,63,9,7,5,8,59,,5,28,3,12,12.63,0,0,929,0.0,0.03,,0.03,0.39,,0.19,0.0,0.05,65.59,93.51,4.26,66.67,0.39,0.1,0.19,50.0,0.48,62.5,3.39,49.3,1.74,54.55,81.77,1.16,0.48,0.29,6.1,0.87,0.68,0.48,0.78,5.72,,0.48,2.71,0.29,1.16,1.22,,,,,,,252830.92
445204,Sebastian Schonlau,Vancouver Whitecaps,307691,https://www.fotmob.com/players/445204/sebastian-schonlau,defender,,defenders,185 cm,15,31,Germany,Both,$198.1k,172722,€172.7k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.1,1,25,0,0,,,,,,,,,,,,,,,,,,,0,0,,,6.10,1,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198112.13
1388146,Édier Ocampo,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1388146/dier-ocampo,Right Back,RB,defenders,175 cm,18,22,Colombia,Right,$3.7m,3258492,€3.3m,2027-12-31,MLS,Western,Major League Soccer,2026,,,,7.34,14,1100,5,0,,,,,,,,,,,,,,,,,,,5,0,,,7.34,14,13,,,,,,,,,,,,,,,,,,,,0.41,0.0,1.0,0.0,13.0,1,0.96,1.01,0.96,10,2,,0,1.85,386,81.4,12,52.2,19,3,15,28.8,10,40.0,62,53.4,5,45.5,808,26,6,15,77,33,12,7,20,56,6,7,25,1,10,10.24,1,0,1100,0.08,0.08,0.08,0.08,0.82,0.16,,0.0,0.15,31.58,81.43,0.98,52.17,1.55,0.25,1.23,28.85,0.82,40.0,5.07,53.45,0.41,45.45,66.11,2.13,0.49,1.23,6.3,2.7,0.98,0.57,1.64,4.58,0.49,0.57,2.05,0.08,0.82,0.84,,,,,,,3737490.32
1368139,Tate Johnson,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1368139/tate-johnson,Left Back,LB,defenders,170 cm,28,20,USA,Left,$2.3m,1997097,€2m,2027-12-31,MLS,Western,Major League Soccer,2026,,,,7.25,12,972,1,0,,,,,,,,,,,,,,,,,,,1,0,,,7.25,12,11,,,,,,,,,,,,,,,,,,,,0.09,0.0,0.0,0.0,11.0,0,0.03,,0.03,2,,,0,0.82,515,90.5,28,62.2,16,2,4,23.5,4,50.0,50,58.8,6,50.0,788,12,7,17,52,23,7,3,15,49,4,4,19,3,9,8.39,0,0,972,0.0,0.0,,0.0,0.19,,,0.0,0.08,47.69,90.51,2.59,62.22,1.48,0.19,0.37,23.53,0.37,50.0,4.63,58.82,0.56,50.0,72.96,1.11,0.65,1.57,4.81,2.13,0.65,0.28,1.39,4.54,0.37,0.37,1.76,0.28,0.83,0.78,,,,,,,2290670.26
1509204,Mihail Gherasimencov,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1509204/mihail-gherasimencov,Left Back,LB,defenders,177 cm,29,21,Moldova,Left,$931.1k,811768,€811.8k,,MLS,Western,Major League Soccer,2026,,,,6.65,6,213,0,0,,,,,,,,,,,,,,,,,,,0,0,,,6.65,6,2,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0,0.01,,0.01,1,,,0,0.03,80,92.0,1,33.3,,,,,2,33.3,17,58.6,3,75.0,146,3,0,4,13,8,,,7,6,,,5,1,3,3.54,0,0,213,0.0,0.0,,0.0,0.42,,,0.0,0.01,33.8,91.95,0.42,33.33,,,,,0.85,33.33,7.18,58.62,1.27,75.0,61.69,1.27,0.0,1.69,5.49,3.38,,,2.96,2.54,,,2.11,0.42,1.27,1.5,,,,,,,931097.9
925326,Tristan Blackmon,Vancouver Whitecaps,307691,https://www.fotmob.com/players/925326/tristan-blackmon,Center Back,CB,defenders,189 cm,33,29,USA,Right,$2.3m,2029341,€2m,2030-06-30,MLS,Western,Major League Soccer,2026,,,,7.25,13,1170,2,0,,,,,,,,,,,,,,,,,,,2,0,,,7.25,13,13,,,,,,,,,,,,,,,,,,,,0.15,0.0,1.0,0.0,13.0,1,1.19,0.96,1.19,9,3,4,0,0.48,803,90.6,46,59.0,4,1,1,50.0,5,55.6,37,50.0,13,46.4,1048,17,2,10,87,9,9,10,15,60,,2,59,4,12,10.84,1,0,1170,0.08,0.09,0.07,0.09,0.69,0.23,0.31,0.0,0.04,61.77,90.63,3.54,58.97,0.31,0.08,0.08,50.0,0.38,55.56,2.85,50.0,1.0,46.43,80.62,1.31,0.15,0.77,6.69,0.69,0.69,0.77,1.15,4.62,,0.15,4.54,0.31,0.92,0.83,1,0.08,,,,,2327654.13
1246571,Oliver Larraz,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1246571/oliver-larraz,Defensive Midfielder,DM,midfielders,178 cm,8,24,USA,Right,$754.8k,658035,€658k,,MLS,Western,Major League Soccer,2026,,,,6.3,9,197,3,0,,,,,,,,,,,,,,,,,,,3,0,,,6.30,9,2,,,,,,,,,,,,,,,,,,,,1.37,0.0,0.0,0.0,2.0,0,0.07,,0.07,2,,,0,0.38,104,89.7,6,75.0,5,,3,25.0,1,33.3,12,42.9,1,50.0,157,3,1,4,10,6,2,,9,13,1,3,2,0,2,1.52,0,0,197,0.0,0.03,,0.03,0.91,,,0.0,0.18,47.51,89.66,2.74,75.0,2.28,,1.37,25.0,0.46,33.33,5.48,42.86,0.46,50.0,71.73,1.37,0.46,1.83,4.57,2.74,0.91,,4.11,5.94,0.46,1.37,0.91,0.0,0.91,0.69,,,,,,,754766.14
116772,Thomas Müller,Vancouver Whitecaps,307691,https://www.fotmob.com/players/116772/thomas-m-ller,Attacking Midfielder,AM,midfielders,185 cm,13,36,Germany,Right,$3.9m,3416305,€3.4m,2026-12-31,MLS,Western,Major League Soccer,2026,,,,7.58,12,842,0,0,,,,,,,,,,,,,,,,,,,0,0,,,7.58,12,9,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,2.0,9.0,4,3.43,3.90,1.86,22,11,2,2,3.44,323,79.6,14,58.3,27,7,5,31.2,4,30.8,31,48.4,8,57.1,554,40,8,11,15,9,1,1,2,28,7,8,4,3,6,6.17,4,2,842,0.43,0.37,0.42,0.2,2.35,1.18,0.21,0.21,0.37,34.52,79.56,1.5,58.33,2.89,0.75,0.53,31.25,0.43,30.77,3.31,48.44,0.86,57.14,59.22,4.28,0.86,1.18,1.6,0.96,0.11,0.11,0.21,2.99,0.75,0.86,0.43,0.32,0.64,0.66,,,2,0.21,,,3918501.84
1136096,Sebastian Berhalter,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1136096/sebastian-berhalter,Defensive Midfielder,DM,midfielders,175 cm,16,25,USA,Right,$3.5m,3030298,€3m,2026-12-31,MLS,Western,Major League Soccer,2026,,,,8.01,14,1124,3,0,,,,,,,,,,,,,,,,,,,3,0,,,8.01,14,13,,,,,,,,,,,,,,,,,,,,0.24,0.0,6.0,4.0,13.0,6,3.40,3.18,2.61,34,9,2,4,4.75,687,84.9,65,53.7,36,11,38,31.7,4,44.4,68,56.7,8,61.5,1115,16,5,21,55,35,11,1,30,77,14,8,8,1,11,10.91,6,4,1124,0.48,0.27,0.25,0.21,2.72,0.72,0.16,0.32,0.38,55.01,84.92,5.2,53.72,2.88,0.88,3.04,31.67,0.32,44.44,5.44,56.67,0.64,61.54,89.28,1.28,0.4,1.68,4.4,2.8,0.88,0.08,2.4,6.17,1.12,0.64,0.64,0.08,0.88,0.87,,,1,0.08,,,3475751.81
529625,Andrés Cubas,Vancouver Whitecaps,307691,https://www.fotmob.com/players/529625/andr-s-cubas,Defensive Midfielder,DM,midfielders,168 cm,20,30,Paraguay,Right,$2.4m,2065525,€2.1m,2028-06-30,MLS,Western,Major League Soccer,2026,,,,7.64,11,864,5,0,,,,,,,,,,,,,,,,,,,5,0,,,7.64,11,10,,,,,,,,,,,,,,,,,,,,0.52,0.0,0.0,1.0,10.0,0,0.25,0.09,0.25,5,1,,1,0.56,426,86.4,25,53.2,7,,1,33.3,5,55.6,76,66.1,8,66.7,657,5,4,12,84,52,23,2,18,69,5,9,7,3,6,8.76,0,1,864,0.0,0.03,0.01,0.03,0.52,0.1,,0.1,0.06,44.38,86.41,2.6,53.19,0.73,,0.1,33.33,0.52,55.56,7.92,66.09,0.83,66.67,68.44,0.52,0.42,1.25,8.75,5.42,2.4,0.21,1.88,7.19,0.52,0.94,0.73,0.31,0.62,0.91,,,,,,,2369157.17
318605,Ryan Gauld,Vancouver Whitecaps,307691,https://www.fotmob.com/players/318605/ryan-gauld,midfielder,,midfielders,169 cm,25,30,Scotland,Left,$2.6m,2276983,€2.3m,2027-12-31,MLS,Western,Major League Soccer,2025,,,,6.8,11,382,1,0,,,,,,,,,,,,,,,,,,,1,0,,,6.80,11,3,,,,,,,,,,,,,,,,,,,,0.24,0.0,1.0,1.0,3.0,1,1.42,1.46,1.42,10,5,,1,0.93,156,81.2,5,55.6,9,,6,37.5,,,25,48.1,4,50.0,285,28,6,8,24,13,5,1,7,23,3,7,,0,6,5.14,1,1,382,0.24,0.34,0.34,0.34,2.36,1.18,,0.24,0.22,36.75,81.25,1.18,55.56,2.12,,1.41,37.5,,,5.89,48.08,0.94,50.0,67.15,6.6,1.41,1.88,5.65,3.06,1.18,0.24,1.65,5.42,0.71,1.65,,0.0,1.41,1.21,,,,,,,2611699.5
1439926,J.C. Ngando,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1439926/j-c-ngando,Central Midfielder,CM,midfielders,175 cm,26,26,France,Right,$333.9k,291118,€291.1k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.48,2,84,1,0,,,,,,,,,,,,,,,,,,,1,0,,,6.48,2,1,,,,,,,,,,,,,,,,,,,,1.07,0.0,0.0,0.0,1.0,0,0.08,,0.08,1,,,0,0.10,40,93.0,,,,,,,1,100.0,5,55.6,,,56,3,0,1,4,3,,1,3,1,,1,,0,1,0.95,0,0,84,0.0,0.09,,0.09,1.07,,,0.0,0.11,42.86,93.02,,,,,,,1.07,100.0,5.36,55.56,,,60.0,3.21,0.0,1.07,4.29,3.21,,1.07,3.21,1.07,,1.07,,0.0,1.07,1.02,,,,,,,333912.35
1610145,Jeevan Badwal,Vancouver Whitecaps,307691,https://www.fotmob.com/players/1610145/jeevan-badwal,Attacking Midfielder,AM,midfielders,168 cm,59,20,Canada,Right,$1.5m,1310571,€1.3m,2027-12-31,MLS,Western,Major League Soccer,2026,,,,7.04,13,893,1,0,,,,,,,,,,,,,,,,,,,1,0,,,7.04,13,10,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,1.0,10.0,0,2.41,1.16,2.41,8,5,2,1,1.76,347,91.3,5,71.4,12,4,3,33.3,1,14.3,53,57.6,5,38.5,533,31,12,31,32,16,11,3,10,42,9,3,2,3,7,8.65,0,1,893,0.0,0.24,0.12,0.24,0.81,0.5,0.2,0.1,0.18,34.97,91.32,0.5,71.43,1.21,0.4,0.3,33.33,0.1,14.29,5.34,57.61,0.5,38.46,53.72,3.12,1.21,3.12,3.23,1.61,1.11,0.3,1.01,4.23,0.91,0.3,0.2,0.3,0.71,0.87,,,,,1,0.1,1503224.94
950967,Cheikh Sabaly,Vancouver Whitecaps,307691,https://www.fotmob.com/players/950967/cheikh-sabaly,Right Winger,RW,attackers,168 cm,7,27,Senegal,Right,$2.4m,2115388,€2.1m,2029-06-30,MLS,Western,Major League Soccer,2026,,,,6.92,10,468,1,0,,,,,,,,,,,,,,,,,,,1,0,,,6.92,10,7,,,,,,,,,,,,,,,,,,,,0.19,0.0,2.0,1.0,7.0,2,2.04,1.58,2.04,13,4,,1,1.35,120,82.8,2,50.0,11,2,1,33.3,5,50.0,23,42.6,,,239,31,10,3,20,15,4,,12,20,7,1,1,0,8,5.87,2,1,468,0.38,0.39,0.3,0.39,2.5,0.77,,0.19,0.26,23.08,82.76,0.38,50.0,2.12,0.38,0.19,33.33,0.96,50.0,4.42,42.59,,,45.96,5.96,1.92,0.58,3.85,2.88,0.77,,2.31,3.85,1.35,0.19,0.19,0.0,1.54,1.13,,,,,,,2426350.04
